segmentId,type,startKm,endKm,distanceKm,elevGainM,elevLossM,avgGrade,isAidSplit,distanceEqKm,speedEqKmh,speedKmh,timeSec,startLat,startLon,endLat,endLon
0,down,0.0,3.448626390095965,3.448626390095965,12.891999999999996,90.18066666666664,-0.026149735130965343,False,3.5775463900959648,0.0,13.0,955,45.7573,4.820830000000001,45.75123000000001,4.82104
1,steep_up,3.448626390095965,3.997800339082204,0.5491739489862391,58.587999999999965,0.20799999999997,0.10668386602851773,False,1.1350539489862386,13.0,0.0,314,45.75123000000001,4.82104,45.75063,4.8158
2,run_up,3.997800339082204,6.5723063331485285,2.5745059940663246,105.46199999999999,40.14599999999996,0.0409639753191746,False,3.6291259940663245,12.0,0.0,1089,45.75063,4.8158,45.734170000000006,4.80665
3,down,6.5723063331485285,8.569660826924082,1.9973544937755534,4.186000000000007,113.72600000000003,-0.056938315333812564,False,2.0392144937755536,0.0,13.0,553,45.734170000000006,4.80665,45.721120000000006,4.8056
4,flat,8.569660826924082,10.674250267462654,2.1045894405385717,24.650000000000006,29.208,-0.002165743071880844,False,2.351089440538572,12.0,0.0,705,45.721120000000006,4.8056,45.72263,4.79811
5,steep_up,10.674250267462654,11.199954146538659,0.5257038790760049,62.29400000000001,0.0,0.11849636740267178,False,1.1486438790760052,13.0,0.0,318,45.72263,4.79811,45.72537000001644,4.798255000619822
6,run_up,11.199954146538659,12.627999549208674,1.4280454026700156,87.23000000000002,43.51599999999996,0.06108349204927668,False,2.3003454026700156,12.0,0.0,690,45.72537000001644,4.798255000619822,45.72643,4.788760000000001
7,flat,12.627999549208674,15.067925098913598,2.439925549704924,63.55999999999992,98.60199999999989,-0.014361913626519396,False,3.075525549704923,12.0,0.0,923,45.72643,4.788760000000001,45.73933,4.784660000000001
8,run_up,15.067925098913598,19.360979286072443,4.293054187158845,90.18000000000023,29.844000000000193,0.021006024165672505,False,5.194854187158847,12.0,0.0,1558,45.73933,4.784660000000001,45.75446,4.80931
9,down,19.360979286072443,20.461484503068206,1.1005052169957636,11.237999999999914,87.93799999999999,-0.07990693605256985,False,1.2128852169957627,0.0,13.0,305,45.75446,4.80931,45.75452000000001,4.81874
10,steep_up,20.461484503068206,20.91957794057981,0.4580934375116037,57.327999999999946,0.0,0.12514477463682896,False,1.0313734375116033,13.0,0.0,286,45.75452000000001,4.81874,45.75742,4.81803
11,flat,20.91957794057981,21.999527798606103,1.0799498580262927,21.21199999999999,40.24199999999999,-0.01762118848256443,False,1.2920698580262926,12.0,0.0,388,45.75742,4.81803,45.76014000000001,4.81057
12,down,21.999527798606103,23.61819219645903,1.6186643978529283,27.366000000000014,85.13400000000004,-0.05259521375334241,False,1.8923243978529283,0.0,13.0,448,45.76014000000001,4.81057,45.772130000000004,4.809270000000001
13,flat,23.61819219645903,25.74012111456915,2.121928918110118,88.01599999999993,112.11599999999996,-0.011357590631011584,False,3.0020889181101174,12.0,0.0,901,45.772130000000004,4.809270000000001,45.76637,4.8185
14,steep_up,25.74012111456915,26.29100047453727,0.5508793599681212,87.42400000000004,0.0,0.1586989935601493,False,1.4251193599681216,13.0,0.0,395,45.76637,4.8185,45.763780000000004,4.82064
15,run_up,26.29100047453727,27.604780546186543,1.3137800716492727,74.96199999999996,45.02799999999999,0.02278463545456424,False,2.0634000716492724,12.0,0.0,619,45.763780000000004,4.82064,45.762890000000006,4.814290000000001
16,down,27.604780546186543,28.83106775816757,1.2262872119810275,13.099999999999966,109.64799999999994,-0.08941461586545221,False,1.3572872119810273,0.0,13.0,340,45.762890000000006,4.814290000000001,45.765530000000005,4.82671
17,steep_up,28.83106775816757,29.423222994169542,0.5921552360019717,68.68600000000004,0.0,0.11599323255797628,False,1.279015236001972,13.0,0.0,354,45.765530000000005,4.82671,45.76220000000001,4.823840000000001
18,run_up,29.423222994169542,30.060174161895507,0.6369511677259645,21.536,7.242666666666707,0.033811069185864864,False,0.8523111677259645,12.0,0.0,256,45.76220000000001,4.823840000000001,45.759660000000004,4.820200000000001
