segmentId,type,startKm,endKm,distanceKm,elevGainM,elevLossM,avgGrade,isAidSplit,distanceEqKm,speedEqKmh,speedKmh,timeSec,startLat,startLon,endLat,endLon
0,flat,0.0,2.3062192472964096,2.3062192472964096,11.300000000000011,12.600000000000023,-0.0005636931534258968,False,2.4192192472964096,10.0,0.0,871,45.4673,5.55757,45.47308,5.5517
1,run_up,2.3062192472964096,4.472690590161082,2.1664713428646722,154.99999999999994,4.199999999999989,0.07154491127265372,False,3.7164713428646716,11.0,0.0,1216,45.47308,5.5517,45.47899,5.53451
2,down,4.472690590161082,5.898838088914194,1.426147498753112,36.19999999999993,124.39999999999998,-0.08722800419224767,False,1.7881474987531112,0.0,11.0,467,45.47899,5.53451,45.47292,5.52125
3,run_up,5.898838088914194,6.985032603669021,1.086194514754827,59.000000000000114,30.600000000000023,0.02614632979104158,False,1.6761945147548283,11.0,0.0,549,45.47292,5.52125,45.46373,5.52003
4,steep_up,6.985032603669021,7.829510809179392,0.844478205510371,87.80000000000007,2.6000000000000227,0.10396952748702026,False,1.7224782055103716,12.0,0.0,517,45.46373,5.52003,45.46545,5.52734
5,down,7.829510809179392,11.161023485835596,3.331512676656204,27.899999999999864,184.89999999999986,-0.0555003141052375,False,3.6105126766562026,0.0,11.0,1090,45.46545,5.52734,45.45173,5.51127
6,run_up,11.161023485835596,12.169170458113996,1.0081469722784,24.399999999999977,1.0,0.02420282029400562,False,1.2521469722783998,11.0,0.0,410,45.45173,5.51127,45.44977,5.50474
7,flat,12.169170458113996,12.504281470029845,0.33511101191584913,5.399999999999977,1.599999999999909,0.016114063125314396,True,0.3891110119158489,10.0,0.0,140,45.44977,5.50474,45.44885,5.50179
8,down,12.504281470029845,12.853464004015429,0.34918253398558363,1.400000000000091,13.0,-0.037229811730894645,True,0.36318253398558453,0.0,11.0,114,45.44885,5.50179,45.45169,5.50016
9,steep_up,12.853464004015429,13.772314601429757,0.9188505974143286,138.39999999999998,0.39999999999997726,0.15062296350403587,False,2.3028505974143285,12.0,0.0,691,45.45169,5.50016,45.4568,5.49252
10,run_up,13.772314601429757,14.395762140300809,0.6234475388710514,55.200000000000045,2.800000000000068,0.08853992767371746,False,1.175447538871052,11.0,0.0,385,45.4568,5.49252,45.45675,5.49032
11,down,14.395762140300809,15.60207554960509,1.2063134093042809,18.200000000000045,132.39999999999998,-0.1097558884604949,False,1.3883134093042813,0.0,11.0,395,45.45675,5.49032,45.4488,5.49023
12,run_up,15.60207554960509,17.29076019288344,1.68868464327835,47.700000000000045,20.700000000000045,0.02824683708107692,False,2.1656846432783503,11.0,0.0,709,45.4488,5.49023,45.44048,5.47562
13,steep_up,17.29076019288344,17.697729029445387,0.4069688365619477,80.0,0.0,0.19657524806035762,False,1.2069688365619478,12.0,0.0,362,45.44048,5.47562,45.44199,5.47239
14,down,17.697729029445387,19.123642279510012,1.4259132500646245,11.399999999999977,76.79999999999995,-0.0538602190536621,False,1.5399132500646244,0.0,11.0,467,45.44199,5.47239,45.44858,5.48216
15,run_up,19.123642279510012,20.304759912954527,1.181117633444515,85.79999999999995,0.20000000000004547,0.0726430607506721,False,2.0391176334445147,11.0,0.0,667,45.44858,5.48216,45.4583,5.47948
16,down,20.304759912954527,24.56874311049063,4.263983197536103,23.399999999999864,286.99999999999983,-0.06730795753741237,False,4.497983197536101,0.0,11.0,1395,45.4583,5.47948,45.46368,5.46016
17,steep_up,24.56874311049063,26.343505384609937,1.7747622741193076,197.79999999999995,19.799999999999955,0.11145154643212961,False,3.7527622741193074,12.0,0.0,1126,45.46368,5.46016,45.45562,5.46466
18,down,26.343505384609937,27.551850257180334,1.2083448725703967,5.0,116.79999999999995,-0.09666114587927406,False,1.2583448725703967,0.0,11.0,395,45.45562,5.46466,45.44899,5.4569
19,run_up,27.551850257180334,29.153462049327228,1.601611792146894,113.0,13.800000000000068,0.07055392608500229,False,2.731611792146894,11.0,0.0,894,45.44899,5.4569,45.45413,5.46843
20,steep_up,29.153462049327228,29.535799884004838,0.3823378346776103,76.79999999999995,0.0,0.2008694746748205,False,1.1503378346776099,12.0,0.0,345,45.45413,5.46843,45.45407,5.47278
21,run_up,29.535799884004838,30.328732550134106,0.7929326661292677,77.39999999999998,4.0,0.0976123236009826,False,1.5669326661292675,11.0,0.0,513,45.45407,5.47278,45.45297,5.4772
22,down,30.328732550134106,31.76153302701201,1.4328004768779046,9.899999999999864,82.69999999999993,-0.05771913210149439,False,1.5318004768779032,0.0,11.0,469,45.45297,5.4772,45.44476,5.46637
23,run_up,31.76153302701201,32.41210084617324,0.6505678191612283,46.0,2.0,0.07070746299641353,False,1.1105678191612283,11.0,0.0,363,45.44476,5.46637,45.43942,5.46475
24,down,32.41210084617324,34.52776380136198,2.115662955188739,38.599999999999966,276.2,-0.13055009510026613,False,2.501662955188739,0.0,11.0,692,45.43942,5.46475,45.43976,5.45235
25,run_up,34.52776380136198,36.66121663908897,2.133452837726992,91.79999999999984,5.399999999999864,0.04302883962403629,False,3.0514528377269903,11.0,0.0,999,45.43976,5.45235,45.43162,5.45674
26,flat,36.66121663908897,38.74333356268878,2.0821169235998127,4.800000000000068,40.200000000000045,-0.01930727306634513,False,2.130116923599813,10.0,0.0,767,45.43162,5.45674,45.42444,5.47506
27,run_up,38.74333356268878,40.13340381018565,1.3900702474968654,86.60000000000002,7.399999999999977,0.06229900982050572,False,2.2560702474968655,11.0,0.0,738,45.42444,5.47506,45.41535,5.47223
