segmentId,type,startKm,endKm,plannedTimeSec,plannedSpeedKmh,plannedSpeedEqKmh,actualTimeSec,actualSpeedKmh,actualSpeedEqKmh,timeDeltaSec,speedDeltaKmh,speedEqDeltaKmh
0,run_up,0.0012503556111711637,2.751997862035421,1343.0,0.0,11.0,958.0,10.377959124087592,15.771641043322607,-385.0,10.377959124087592,4.771641043322607
1,flat,2.751997862035421,5.702295199098821,1553.0,0.0,10.0,1044.0,10.292623923444976,15.465369791885239,-509.0,10.292623923444976,5.465369791885239
2,down,5.702295199098821,6.686729715894419,300.0,12.0,0.0,280.0,12.739387900355872,15.108034807777434,-20.0,0.7393879003558723,15.108034807777434
3,steep_up,6.686729715894419,10.509060738632892,2657.0,0.0,12.0,2234.0,6.227741935483871,13.64872968138038,-423.0,6.227741935483871,1.6487296813803791
4,down,10.509060738632892,12.561675914033996,569.0,12.0,0.0,712.0,10.521189340813464,12.481475700974705,143.0,-1.4788106591865358,12.481475700974705
5,run_up,12.561675914033996,14.153027367486201,983.0,0.0,11.0,766.0,7.520855280312907,13.887675252900546,-217.0,7.520855280312907,2.8876752529005465
6,steep_up,14.153027367486201,14.979211655327227,502.0,0.0,12.0,502.0,6.01865606361829,13.093737623839733,0.0,6.01865606361829,1.0937376238397327
7,down,14.979211655327227,16.055981022242072,357.0,12.0,0.0,457.0,9.039062068965517,9.061276491233777,100.0,-2.9609379310344828,9.061276491233777
8,run_up,16.055981022242072,17.361290620003913,615.0,0.0,11.0,455.0,10.322526315789474,13.270646679292545,-160.0,10.322526315789474,2.270646679292545
9,down,17.361290620003913,18.635751698035307,353.0,12.0,0.0,467.0,9.966,12.320172307801446,114.0,-2.0340000000000007,12.320172307801446
10,steep_up,18.635751698035307,19.985715427868204,799.0,0.0,12.0,790.0,6.271190897597977,13.297872790783371,-9.0,6.271190897597977,1.2978727907833711
11,run_up,19.985715427868204,20.659273161754236,434.0,0.0,11.0,398.0,6.120721804511279,12.792969208033398,-36.0,6.120721804511279,1.7929692080333979
12,down,20.659273161754236,22.255277549545774,496.0,12.0,0.0,566.0,10.499393501805054,11.4350697417999,70.0,-1.500606498194946,11.4350697417999
13,steep_up,22.255277549545774,23.777552006360427,1275.0,0.0,12.0,1073.0,5.188357541899442,14.344054559839705,-202.0,5.188357541899442,2.344054559839705
14,down,23.777552006360427,30.34199207231109,2104.0,12.0,0.0,2216.0,11.079621109607578,12.519985855323702,112.0,-0.9203788903924224,12.519985855323702
