cohort,terrainFamily,segmentCount,timeMin,distanceKm,trimp,hrrMean,timeSharePct,trimpSharePct
hardRunOrTrailRun,flat,868,5142.533333333334,831.447570162013,138.99780632133303,0.6877044171498757,43.062219654276326,46.664460081031244
hardRunOrTrailRun,climb,202,2217.4666666666667,199.66538749133244,51.07142180075642,0.6388484714883768,18.5684818136397,17.145740547828602
hardRunOrTrailRun,descent,204,1531.3,199.43402965944117,34.4641124495895,0.6427004252487404,12.82270287470378,11.57032072804167
hardRunOrTrailRun,mixed_climb_descent,143,1353.3333333333333,143.0007487536472,33.142913581986996,0.6680512283106389,11.332456882234558,11.126766736449802
hardRunOrTrailRun,steep_climb,62,1029.55,61.20834741079262,27.214069546328513,0.6646263895435984,8.62118052938763,9.136330245754024
hardRunOrTrailRun,steep_descent,69,667.9166666666666,67.87854369551381,12.97620273140124,0.6019658248294523,5.5929582457580045,4.356381660894651
hardTrailRun,climb,189,2116.516666666667,188.1838223401047,47.936323272085616,0.635009052738746,26.440373772621655,26.710898916272836
hardTrailRun,flat,218,1618.1166666666666,205.38095406399492,33.60548745521369,0.6232060944441976,20.21416138515736,18.72552413653717
hardTrailRun,descent,192,1468.7333333333333,187.73750905129268,32.32471417226468,0.6364521292811135,18.348004963647114,18.011856434044944
hardTrailRun,mixed_climb_descent,110,1133.95,110.00347756586682,26.276678590772907,0.6500952541212665,14.16575749752234,14.641792648754148
hardTrailRun,steep_climb,61,1013.2166666666667,60.2081853216443,26.717021085993736,0.6637460593621451,12.657508349087637,14.887158648387086
hardTrailRun,steep_descent,67,654.3333333333334,65.88076919979083,12.603309849617938,0.6004063079653534,8.17419403196389,7.022769216003823
selectedDateRaces,flat,144,884.6333333333333,138.08140031659875,25.757779020129107,0.711403035880954,26.419451979791447,26.001653797506503
selectedDateRaces,climb,81,794.9833333333333,81.00609264770571,23.183376373473603,0.7130619662717206,23.742067146163613,23.402876694037687
selectedDateRaces,mixed_climb_descent,68,564.15,68.00376580070616,17.011243546695034,0.7288266615124547,16.848261616186754,17.172306083555096
selectedDateRaces,descent,82,538.7666666666667,80.98668891672476,16.41064376318157,0.7304611183749885,16.09019188173515,16.56601981836234
selectedDateRaces,steep_climb,24,381.2,23.20947317283095,11.627178242285773,0.7134882359673691,11.384485204449865,11.737264422586831
selectedDateRaces,steep_descent,23,184.68333333333334,22.337479962203656,5.071858800097911,0.6920153049932987,5.51554217167318,5.119879183951537
top10HardTrailByHRR,climb,41,344.6666666666667,41.0015180530115,13.205526371745721,0.787390132080672,33.37637185280826,34.03983912805412
top10HardTrailByHRR,flat,43,222.16666666666666,39.76368325903024,8.089279827721656,0.7780939554918128,21.513879922530663,20.851708311045332
top10HardTrailByHRR,descent,36,190.0,34.76211878167897,6.651146277204974,0.7644012485233693,18.3989670755326,17.14463648928245
top10HardTrailByHRR,mixed_climb_descent,21,134.63333333333333,21.00473751760282,4.982813918520652,0.7776655579540414,13.037443511943186,12.844182005071382
top10HardTrailByHRR,steep_climb,7,102.98333333333333,6.207689330033473,4.534004913814329,0.8312187785750657,9.972562943834731,11.687288603827453
top10HardTrailByHRR,steep_descent,6,38.21666666666667,6.001636765447831,1.3315553094822195,0.7533543211244306,3.700774693350549,3.4323454627192684
