cohort,stage,alpha,mu,r2,maeSec,mapePct,biasSec,loadFactorCol,useHrrEffort,fatigueState,acuteTrimpCol,fatigueCoef,fatigueModel,segmentR2,segmentMaeSec,segmentMapePct,segmentBiasSec,raceR2,raceMaeSec,raceMapePct,raceBiasSec
hardTrailRun,Stage 0 reproduction Stage 3,0.45,-0.0,0.8581820986691203,2850.091808592207,35.10050921619099,958.0835699586505,,,,,,,,,,,,,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,0.4,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.1,exponential,0.19473888160390296,185.12500145492382,33.696903579981644,46.583015068734454,0.8582150525609065,2744.481497730155,32.65974543542585,665.7329691673498
hardTrailRun,Stage 2 TRIMP fatigue REDI,0.4,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.1936429880911129,184.85697706011015,33.53788492122888,46.32286632642518,0.855322559545361,2766.1519267982726,32.74209485832955,660.8942025603969
hardTrailRun,Stage 3 HRR speed ratio,0.45,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.0,exponential,0.45686782622936795,146.49133149931487,25.446528590150347,52.640295693583646,0.9619819292349444,1535.4244627642413,19.27078307684461,778.3983887895446
top10HardTrailByHRR,Stage 0 reproduction Stage 3,0.7,-0.05,0.9748301332991514,460.91989698668823,9.809552064043954,39.00670717040062,,,,,,,,,,,,,,
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,0.6,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.4,linear,0.7872243467717108,57.965429076479495,15.249380753504122,5.519453214424835,0.9777556898600915,426.35910238576633,9.61809805214088,106.49957950214238
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,0.6,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.4,linear,0.7915811238282753,57.7834030065468,14.99757759015271,3.515829266681864,0.9798160257343511,412.0182065334002,8.880555351511735,75.64377070690065
top10HardTrailByHRR,Stage 3 HRR speed ratio,0.6,,,,,,rediReadinessFactor,True,cumulative,cumTrimpBefore,0.4,linear,0.8765520166658757,45.918095704794176,12.632502425585454,-10.706712315357207,0.9862437427873263,295.94972885112213,5.546475542146824,-143.383369656501
selectedDateRaces,Stage 0 reproduction Stage 3,0.55,-0.05,0.9326471827328023,2249.853628236638,30.22441825370227,1031.8042174024076,,,,,,,,,,,,,,
selectedDateRaces,Stage 1 TRIMP fatigue CTL,0.45,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.1,linear,0.3772735405925052,137.42693134118983,30.765337584792483,49.90287275607856,0.9325006556327102,2395.8844071557364,33.77941865794641,1455.8895723925084
selectedDateRaces,Stage 2 TRIMP fatigue REDI,0.45,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.1,linear,0.39273374784879,135.16722305781667,30.135077650686775,46.75787449699408,0.9349838468617925,2337.5406978962865,32.88801309635891,1382.1568354295277
selectedDateRaces,Stage 3 HRR speed ratio,0.55,,,,,,rediReadinessFactor,True,cumulative,cumTrimpBefore,0.2,exponential,0.7539546900934273,74.5953792242994,15.50838745860835,-13.81858953105425,0.9890363462679423,684.4899391488939,7.59712886640298,-38.02471011693873
