cohort,activityIndex,segmentIndex,startKm,endKm,distanceKm,avgGrade,meanAltitudeM,elevGainM,elevLossM,progress,gapFactor,altitudePenalty,meanHrReserve,segmentTrimp,cumTrimpBefore,decayedTrimpBefore,terrainFamily,technicalityCombined,actualTimeSec,stage3PredictedTimeSec,stage3ResidualSec,stage3FatigueState,stage3AcuteTrimpCol,stage3FatigueModel
hardTrailRun,A0004,0,0.0,1.0002495604533705,1.0002495604533705,0.059247349369850016,1292.9751146224642,96.0,37.20000000000027,0.09868567004525781,1.5911602003272616,0.02474471057992189,0.7701190476190476,0.2690751441745381,0.0,0.0,mixed_climb_descent,1.0,448.0,676.8847931999636,228.8847931999636,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0004,1,1.0002495604533705,2.000288196399436,1.0000386359460656,0.19845504017789514,1437.241975511489,195.50000000000023,0.0,0.29603620010280235,2.5891877613359355,0.02993161492701535,0.821608118657299,0.6040796708543483,0.2690751441745381,0.2690751441745381,steep_climb,1.0,854.0,1037.7241218325546,183.7241218325546,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0004,2,2.000288196399436,2.998027704600355,0.9977395082009188,0.20860041665530152,1687.7196731305953,225.50000000000023,17.5,0.49313908577421034,2.8139826203964056,0.04009400892159665,0.819236111111111,0.674021982241761,0.8731548150288864,0.8034154403914063,steep_climb,1.0,960.0,1140.4321482239714,180.43214822397135,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0004,3,2.998027704600355,4.0008190161105395,1.0027913115101845,-0.21115359140706552,1672.8179290893706,0.0,213.0,0.6905135533019894,0.6547053928552885,0.03944834183507773,0.7650391236306728,0.25170687375558515,1.5471767972706474,1.2692067792607413,steep_descent,0.531222687565929,426.0,285.37818389650687,-140.62181610349313,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0004,4,4.0008190161105395,5.0019122806203775,1.001093264509838,-0.24648015685702357,1423.531946832493,0.0,246.5999999999999,0.888218905942444,0.5984853555148045,0.029417748589535053,0.8116355140186916,0.2934004855018188,1.7988836710262326,1.1919583816447015,steep_descent,1.0,428.0,242.94241299669508,-185.05758700330492,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0004,5,5.0019122806203775,5.067856153758952,0.06594387313857464,-0.0451323826316679,1301.9643671571198,0.0,3.7000000000000455,0.9934939083571205,0.7890110050712933,0.02505367830845806,0.8838461538461537,0.022295568566208682,2.092284156528051,1.1764249729185066,descent,0.05540930073238097,26.0,19.28718255340486,-6.712817446595139,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0086,0,0.0,0.9996302050063283,0.9996302050063284,0.10383575090282424,262.5551355617484,110.80000000000001,0.0,0.04029850627972808,1.7703032856936176,0.0018593879243578026,0.65989010989011,0.22739874915247837,0.0,0.0,climb,1.0,546.0,882.9876022899907,336.9876022899907,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0086,1,0.9996302050063283,1.9995882577901607,0.9999580527838324,0.09931893704018224,412.228607566168,113.89999999999998,15.200000000000045,0.12090873550236067,1.8654823193808459,0.0036412460876228403,0.764440734557596,0.35324295639186853,0.22739874915247837,0.22739874915247837,climb,0.4260887601654456,599.0,804.9043293568767,205.9043293568767,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0086,2,1.9995882577901607,2.9989517212161583,0.9993634634259976,0.13418877450077404,503.23364031230085,140.60000000000002,8.700000000000045,0.20150821146124012,2.0237795951648327,0.00498092282953333,0.790464,0.40064927452577287,0.5806417055443469,0.5217040931242558,climb,0.5194981573745678,625.0,845.0921804385304,220.09218043853036,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0086,3,2.9989517212161583,4.000655145570407,1.001703424354249,0.0925057330356608,635.6704315932384,101.10000000000002,8.600000000000023,0.2821780493067839,1.7852937218202378,0.007276738132631522,0.8082245131729668,0.3946996787318194,0.9812909800701197,0.7871371725164533,climb,0.8016643730983077,582.0,732.5200648688727,150.52006486887274,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0086,4,4.000655145570407,5.000176372729724,0.9995212271593168,0.14756176218136702,701.1518320862866,159.39999999999986,10.599999999999909,0.36285424714701975,2.2662727139598293,0.008563501378830107,0.811168335717692,0.47846990666624306,1.375990658801939,0.9778252383078967,climb,1.0,699.0,925.6764289947025,226.67642899470252,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0086,5,5.000176372729724,5.999627458929179,0.9994510861994552,0.09014579510909236,890.8900518881851,112.59999999999991,26.59999999999991,0.4434396455468021,1.8388501074778818,0.01285858459734568,0.7522666666666666,0.38267242454538314,1.854460565468182,1.2028606598471758,climb,1.0,675.0,813.3689477623342,138.3689477623342,decayed,decayedTrimpBefore,exponential
