cohort,stratifier,bin,activityCount,valueMin,valueMax,maeMin,medianAbsErrorMin,biasMin
hardRunOrTrailRun,meanSegmentHrr,"(0.348, 0.692]",35,0.3491495606097616,0.6917815887667322,11.046461197561518,6.249765649966745,-2.7977574061894828
hardRunOrTrailRun,meanSegmentHrr,"(0.692, 0.741]",34,0.6947868270658641,0.7409446299802114,7.672150956876868,3.3883567433622717,4.8190423978219705
hardRunOrTrailRun,meanSegmentHrr,"(0.741, 0.883]",34,0.7410569087042024,0.8832659005877633,7.91236882721181,4.889059108836432,5.459863105250351
hardRunOrTrailRun,inRaceTrimp,"(0.929, 1.659]",35,0.930045633801654,1.6593993488259278,3.519615857793098,2.288905335132866,-1.4556148580738582
hardRunOrTrailRun,inRaceTrimp,"(1.659, 2.622]",34,1.6615437426028488,2.6216636084532445,6.325031480839863,4.79588856187174,-0.20894666348927027
hardRunOrTrailRun,inRaceTrimp,"(2.622, 17.954]",34,2.6588727398328422,17.954027404229628,17.00771144712807,15.704834450806993,9.106234837619036
hardRunOrTrailRun,durationMin,"(28.631999999999998, 54.4]",34,28.633333333333333,53.666666666666664,3.1251777905551967,2.3138282516570747,-1.3312081280683494
hardRunOrTrailRun,durationMin,"(54.4, 106.517]",34,54.4,105.3,5.529718628293711,4.758964062122917,3.8377273783242485
hardRunOrTrailRun,durationMin,"(106.517, 737.533]",35,106.51666666666667,737.5333333333333,17.77809532379444,16.190105624264955,4.752560667975043
hardRunOrTrailRun,maxDecayedBefore,"(0.416, 0.724]",34,0.4165905981345556,0.7112344210033654,4.7469069205995496,2.308629650737127,-1.7641337991787729
hardRunOrTrailRun,maxDecayedBefore,"(0.724, 0.869]",35,0.7237852676579183,0.8686818752244061,7.313642166387227,3.882666540590746,3.292813765852325
hardRunOrTrailRun,maxDecayedBefore,"(0.869, 2.216]",34,0.8744674426465624,2.2162963602767576,14.680220689697958,10.453624555114644,5.773333683972765
hardTrailRun,meanSegmentHrr,"(0.348, 0.618]",15,0.3491495606097616,0.6138023025437516,20.839627018337307,16.779080698930375,14.012858597125362
hardTrailRun,meanSegmentHrr,"(0.618, 0.731]",15,0.6205365914547747,0.7310999714342631,12.541156149186845,10.887544480537144,5.889912964176385
hardTrailRun,meanSegmentHrr,"(0.731, 0.883]",15,0.7314823747580153,0.8832659005877633,17.627065265821823,10.27405100977348,15.71465847495403
hardTrailRun,inRaceTrimp,"(1.143, 2.228]",15,1.1436032548194042,2.1480895357642362,8.677821811357086,5.380036519587149,2.1331442913053182
hardTrailRun,inRaceTrimp,"(2.228, 3.674]",15,2.2680174783665614,3.597451729778049,16.272534224490755,15.86304482536948,16.272534224490755
hardTrailRun,inRaceTrimp,"(3.674, 17.954]",15,3.8278116287151285,17.954027404229628,26.057492397498137,21.241653550962262,17.2117515204597
hardTrailRun,durationMin,"(36.932, 95.244]",15,36.93333333333333,91.0,7.45255029610773,5.380036519587149,4.953503259120187
hardTrailRun,durationMin,"(95.244, 179.722]",15,97.36666666666666,179.31666666666666,18.785039656350154,16.76903919478018,12.338084257006765
hardTrailRun,durationMin,"(179.722, 737.533]",15,180.53333333333333,737.5333333333333,24.770258480888085,21.241653550962262,18.32584252012882
hardTrailRun,maxDecayedBefore,"(0.525, 0.841]",15,0.5256052348490057,0.832321150188145,14.50784480414696,10.27405100977348,9.092340853112939
hardTrailRun,maxDecayedBefore,"(0.841, 1.247]",15,0.8457214358573645,1.2465258596908275,17.836405407357528,10.777081253580794,16.618322986251915
hardTrailRun,maxDecayedBefore,"(1.247, 2.216]",15,1.247648503192822,2.2162963602767576,18.663598221841493,16.779080698930375,9.906766196890924
selectedDateRaces,meanSegmentHrr,"(0.586, 0.737]",6,0.5870588683564351,0.7310999714342631,28.576291119520434,18.715129407743113,-28.576291119520434
selectedDateRaces,meanSegmentHrr,"(0.737, 0.761]",6,0.7402269851783694,0.7589110690686917,5.498522374116199,4.8374321399525035,2.733541808098206
selectedDateRaces,meanSegmentHrr,"(0.761, 0.883]",6,0.7649558915088149,0.8832659005877633,2.6576563303711906,1.8174509918685104,-2.6576563303711906
selectedDateRaces,inRaceTrimp,"(0.413, 3.159]",6,0.4141927615115401,2.688433091260227,4.089015860997265,3.7875495661799388,-4.089015860997265
selectedDateRaces,inRaceTrimp,"(3.159, 6.525]",6,3.3941407951590086,6.4748087786968505,6.077549112431373,2.1422034604806184,-4.719624736119065
