cohort,stage,feature,coefficient,standardizedCoefficient,absStandardizedCoefficient
hardTrailRun,E1 distance,intercept,6.287231990806307,,
hardTrailRun,E1 distance,logDistanceKm,1.1717294413855888,0.5906967332775331,0.5906967332775331
hardTrailRun,E2 terrain physics + progress,intercept,5.091469345456005,,
hardTrailRun,E2 terrain physics + progress,logDistanceKm,1.0932034174018552,0.5511098933415036,0.5511098933415036
hardTrailRun,E2 terrain physics + progress,logGapFactor,0.6157086004180033,0.4964996134288259,0.4964996134288259
hardTrailRun,E2 terrain physics + progress,altitudePenalty,11.359973618707107,0.43221108704689737,0.43221108704689737
hardTrailRun,E2 terrain physics + progress,progress,0.14769295284735032,0.08361737108644704,0.08361737108644704
hardTrailRun,E2 terrain physics + progress,terrain_climb,0.8257075665142556,0.664906265543474,0.664906265543474
hardTrailRun,E2 terrain physics + progress,terrain_descent,0.8726750791076356,0.7066409507574434,0.7066409507574434
hardTrailRun,E2 terrain physics + progress,terrain_flat,0.7919763241551342,0.6694243815919838,0.6694243815919838
hardTrailRun,E2 terrain physics + progress,terrain_mixed_climb_descent,0.8172165869393685,0.5317609931989702,0.5317609931989702
hardTrailRun,E2 terrain physics + progress,terrain_steep_climb,0.7641114585068517,0.3825324187620585,0.3825324187620585
hardTrailRun,E2 terrain physics + progress,terrain_steep_descent,1.0197823302327462,0.5329739745291174,0.5329739745291174
hardTrailRun,E3 CTL readiness,intercept,5.105146639369609,,
hardTrailRun,E3 CTL readiness,logDistanceKm,1.0929900884733352,0.5510023491450879,0.5510023491450879
hardTrailRun,E3 CTL readiness,logGapFactor,0.6190495189773269,0.4991936878206327,0.4991936878206327
hardTrailRun,E3 CTL readiness,altitudePenalty,11.303693712381396,0.4300698145133172,0.4300698145133172
hardTrailRun,E3 CTL readiness,progress,0.14822524093870748,0.08391872961440545,0.08391872961440545
hardTrailRun,E3 CTL readiness,ctl,-0.01645406938356475,-0.00800459122939393,0.00800459122939393
hardTrailRun,E3 CTL readiness,tsb,-0.035057283207215115,-0.02032883210720735,0.02032883210720735
hardTrailRun,E3 CTL readiness,terrain_climb,0.8259586204550967,0.665108428324856,0.665108428324856
hardTrailRun,E3 CTL readiness,terrain_descent,0.8756391690022246,0.7090410964146159,0.7090410964146159
hardTrailRun,E3 CTL readiness,terrain_flat,0.7923305105142093,0.6697237604713273,0.6697237604713273
hardTrailRun,E3 CTL readiness,terrain_mixed_climb_descent,0.8192108532637554,0.5330586578062574,0.5330586578062574
hardTrailRun,E3 CTL readiness,terrain_steep_climb,0.7675799679409513,0.3842688373022514,0.3842688373022514
hardTrailRun,E3 CTL readiness,terrain_steep_descent,1.0244275181934224,0.5354017125046042,0.5354017125046042
hardTrailRun,E4 REDI readiness,intercept,5.105117482727767,,
hardTrailRun,E4 REDI readiness,logDistanceKm,1.0939453843914038,0.5514839365817313,0.5514839365817313
hardTrailRun,E4 REDI readiness,logGapFactor,0.6192296898928069,0.49933897536384103,0.49933897536384103
hardTrailRun,E4 REDI readiness,altitudePenalty,11.299110561068742,0.4298954400933203,0.4298954400933203
hardTrailRun,E4 REDI readiness,progress,0.1483632720169254,0.08399687684937028,0.08399687684937028
