cohort,stage,r2,maeMin,mapePct,biasMin,fatigueState,acuteTrimpCol,fatigueModel,deltaMaeMinVsFull
hardTrailRun,full,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743,decayed,decayedTrimpBefore,exponential,0.0
hardTrailRun,no GAP,0.8120123570979543,38.379864938995624,16.872113599055513,-25.615329645322518,decayed,decayedTrimpBefore,exponential,12.789457226258268
hardTrailRun,no altitude,0.9526311395120657,27.391669545639097,19.019402591339695,8.661630131879672,decayed,decayedTrimpBefore,exponential,1.8012618329017407
hardTrailRun,no REDI readiness,0.9532215475234732,28.53939917686889,21.357504412667655,17.20575623057272,decayed,decayedTrimpBefore,exponential,2.9489914641315345
hardTrailRun,no HRR speed ratio,0.820438978179961,42.55570752563994,23.242236989271795,-12.634252000359123,decayed,decayedTrimpBefore,exponential,16.965299812902582
hardTrailRun,no TRIMP fatigue,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743,decayed,decayedTrimpBefore,exponential,0.0
top10HardTrailByHRR,full,0.9862437427873263,4.932495480852036,5.546475542146824,-2.38972282760835,cumulative,cumTrimpBefore,linear,0.0
top10HardTrailByHRR,no GAP,0.8446691740923906,20.662246651644768,26.852020639743053,-20.08578800121712,cumulative,cumTrimpBefore,linear,15.729751170792731
top10HardTrailByHRR,no altitude,0.9837233938439798,5.675851029152862,6.4271970340875315,-3.237470119235594,cumulative,cumTrimpBefore,linear,0.7433555483008263
top10HardTrailByHRR,no REDI readiness,0.9773170353121569,7.069221187285804,7.697118692130543,-0.21353440223199413,cumulative,cumTrimpBefore,linear,2.1367257064337686
top10HardTrailByHRR,no HRR speed ratio,0.9552989905040905,9.968802147139503,11.086215738632587,8.69973512405071,cumulative,cumTrimpBefore,linear,5.036306666287467
top10HardTrailByHRR,no TRIMP fatigue,0.9196357338236865,11.949219612993907,10.290445139617033,-11.949219612993907,cumulative,cumTrimpBefore,linear,7.016724132141872
selectedDateRaces,full,0.9890363462679423,11.408165652481564,7.59712886640298,-0.6337451686156454,cumulative,cumTrimpBefore,exponential,0.0
selectedDateRaces,no GAP,0.8281402004991898,37.07927234783147,17.60072033985553,-33.17518175588261,cumulative,cumTrimpBefore,exponential,25.671106695349906
selectedDateRaces,no altitude,0.9834924395585145,13.26523675398862,7.577073632590718,-3.241007369221988,cumulative,cumTrimpBefore,exponential,1.8570711015070565
selectedDateRaces,no REDI readiness,0.9884609711885444,14.154057917748247,10.551972658854831,6.761495934802364,cumulative,cumTrimpBefore,exponential,2.745892265266683
selectedDateRaces,no HRR speed ratio,0.9509910919540039,23.818070776880294,15.918948373108305,-1.2697773097447822,cumulative,cumTrimpBefore,exponential,12.40990512439873
selectedDateRaces,no TRIMP fatigue,0.9353139937706825,21.733193166645073,8.903747027447064,-15.719203444252122,cumulative,cumTrimpBefore,exponential,10.325027514163509
