cohort,activityCount,segmentCount,durationMinP10,durationMinMedian,durationMinP90,distanceKmMedian,distanceKmP90,ascentMMedian,ascentMP90,activityHrrP10,activityHrrMedian,activityHrrP90,activityHrrP90MinusP10,segmentHrrP10,segmentHrrMedian,segmentHrrP90,segmentHrrP90MinusP10,inRaceTrimpP10,inRaceTrimpMedian,inRaceTrimpP90,maxDecayedTrimpBeforeMedian,ctlMedian,ctlP90,tsbMedian,tsbP10,tsbP90,rediSlowMedian,rediBalanceMedian,segmentShareHrrGe70Pct,timeShareHrrGe70Pct,segmentShareHrrGe80Pct,timeShareHrrGe80Pct,segmentShareHrrGe85Pct,timeShareHrrGe85Pct,segmentShareHrrGe90Pct,timeShareHrrGe90Pct
hardTrailRun,45,837,52.25333333333334,127.96666666666667,497.89666666666676,14.8051,30.130440000000004,782.0,2016.2000000000003,0.4876,0.6926666666666667,0.7694666666666666,0.28186666666666665,0.42403459167026347,0.6502536873156343,0.7955599001374847,0.3715253084672212,1.7133383259802948,2.789079703160155,7.050367610731561,0.9691000683064002,1.0108391381435744,1.1835006699772226,0.0338491056117239,-0.3768201598442319,0.2806892547288392,1.008611981844732,0.044459790874694,37.15651135005974,28.853280920773198,8.841099163679809,6.672399290431654,2.6284348864994027,1.9267445637237348,0.35842293906810035,0.13137841146635795
hardRunOrTrailRun,103,1548,34.769999999999996,64.61666666666666,232.33999999999997,11.4596,25.9067,208.0,1220.3999999999999,0.5384,0.724,0.7712,0.2328,0.4886694807935838,0.6940903250969326,0.8189571344832317,0.3302876536896479,1.094505824123697,1.884043228277578,6.4951559927074864,0.8048814731322507,0.6880476391414546,1.1714999186240325,0.0531295906128436,-0.2912992082328166,0.2973366272304897,0.6544740123206663,0.034738264501131405,48.19121447028424,38.18730932303922,13.88888888888889,10.052949927846303,4.7803617571059425,3.153828332816953,0.5813953488372093,0.2928016568833511
top10HardTrailByHRR,10,154,46.35166666666667,74.64166666666667,181.76,11.0115,27.102059999999998,720.5,1183.2,0.7559333333333333,0.7683333333333333,0.8723333333333334,0.11640000000000006,0.6979145231924212,0.7801609964627882,0.855679012345679,0.1577644891532578,1.7766761894006768,3.078965051575893,6.665387812062329,1.2776652654209602,0.9797582815254235,1.1892319284807527,0.08193329067977505,-0.18660690856648096,0.27725663448242216,0.998231971056406,0.05996981707347625,89.6103896103896,90.2437056165268,35.064935064935064,36.18140735958683,11.03896103896104,10.585861846352486,1.948051948051948,1.0183989670755327
selectedDateRaces,18,422,46.221666666666664,150.04166666666666,323.04000000000025,24.2034,35.783980000000014,780.0,2047.400000000001,0.6429999999999999,0.7523333333333333,0.8547333333333333,0.21173333333333344,0.5792963917525774,0.7327217614948561,0.8287949884975409,0.24949859674496344,1.784358826172428,5.05446819971171,8.759542138202088,1.218291086431953,0.9730571914010673,1.1576722333240224,0.0357335378874232,-0.1065427371763401,0.33112651808907684,0.998231971056406,0.0651854650280391,63.270142180094794,53.55416739254872,17.535545023696685,13.72688584156691,5.213270142180095,3.9954207212364055,0.7109004739336493,0.31407879345959533
