cohort,activityCount,maeMean,maeMedian,maeP90,biasMean,underPredSharePct,overPredSharePct
hardRunOrTrailRun,103,8.898056452171536,4.926603285551816,24.73088232119008,2.4423425037653113,44.66019417475729,55.33980582524271
hardTrailRun,45,17.00261614444866,12.994813174680742,38.84401680891046,11.872476678751925,22.22222222222222,77.77777777777779
selectedDateRaces,18,12.244156608002607,6.083150631843144,26.510167016815473,-9.50013521393114,77.77777777777779,22.22222222222222
top10HardTrailByHRR,10,4.814364476652864,3.921382673397784,8.955735985855902,-0.395364463172679,50.0,50.0
