cohort,stage,fitObjective,validation,alpha,fatigueCoef,fatigueModel,segmentR2,segmentMaeSec,segmentMapePct,segmentBiasSec,raceR2,raceMaeSec,raceMapePct,raceBiasSec,loadFactorCol,useHrrEffort,fatigueState,acuteTrimpCol,vmaFlatKmh,hrrReference,hrrMinFactor,hrrMaxFactor,minFatigueFactor,decayLambda,raceMaeMin,segmentMaeMin,selectedFatigueState,selectedFatigueModel
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.0,linear,-0.17879822955782565,228.1934524989577,43.238302197622076,130.10729157110856,0.8271280038402624,3430.04191019035,45.7816542026603,2219.2845121115083,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,57.167365169839165,3.8032242083159615,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.1,linear,-0.6197103878818602,268.0802430240396,51.47647175913528,199.29220288265125,0.7120142082591245,4193.7967847840055,55.00702250782798,3506.1238625062015,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,69.89661307973343,4.46800405040066,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.2,linear,-1.5804655935609357,337.1111291602878,64.69805323792932,291.18656703678226,0.4038363250674898,5605.137397103565,68.16998043423791,5215.359035773039,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,93.41895661839274,5.618518819338131,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.3,linear,-3.3794749688104266,440.3153448154774,84.31793859598493,408.78389507691514,-0.20313350974996092,7576.1807424334365,85.4315665979725,7402.66933731951,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,126.26967904055728,7.3385890802579565,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.35,0.4,linear,-5.518637632966296,545.4868264275661,105.1824041332746,522.2200776465602,-0.8671084277974839,9543.980243913778,104.5711158862915,9512.58233311491,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,159.06633739856298,9.091447107126102,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.4,0.0,linear,0.2047036797262326,183.7553905518183,33.37771971284241,42.11568418684663,0.8581330932684873,2709.347207051605,32.087992560873026,582.640614764236,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,45.15578678419342,3.062589842530305,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.4,0.1,linear,0.007163878520419997,207.03458138493798,38.67288208806527,102.65248158444642,0.8302546417396222,3226.316267454511,39.450484560671995,1708.6250463595932,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,53.77193779090852,3.450576356415633,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.4,0.2,linear,-0.5404909600369667,255.2064878335778,48.329107905651256,183.06005021931108,0.6775766854535727,4095.822269769932,49.51705888457793,3204.2058229680747,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,68.26370449616553,4.253441463892964,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.4,0.3,linear,-1.6820041932945018,335.07214966283317,63.90446322811001,285.9577122544274,0.31753692437849423,5574.035794314004,63.57543800523106,5118.102336821237,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,92.90059657190007,5.584535827713887,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.4,0.4,linear,-3.103422791512484,421.32504697589525,81.36337308940695,385.2143720028668,-0.10291943550197447,7210.244198835185,79.76396034312863,6964.276208142213,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,120.17073664725308,7.022084116264921,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.45,0.0,linear,0.3218354708566967,164.55704086988882,28.35215879366292,-26.322232667579275,0.8257104898126905,2562.380714923657,23.628750572021058,-690.3046387280859,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,42.706345248727615,2.7426173478314806,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.45,0.1,linear,0.27639844867810026,174.29208539078803,31.088742231726425,27.48825390806499,0.8512923933655425,2639.7915132072476,28.402789773320386,310.5704115788977,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,43.996525220120795,2.904868089846467,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.45,0.2,linear,-0.007833826100551944,203.7331537605893,37.42283945869976,98.96164825016693,0.7964521201775888,3292.0849257082236,36.63910968532153,1639.975546341993,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,54.86808209513706,3.395552562676488,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.45,0.3,linear,-0.7234169677022728,263.13783322174817,49.477720179121434,190.42623672582585,0.5946796817633294,4253.364969114414,47.770340998756076,3341.2168919892483,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,70.8894161519069,4.385630553695803,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.45,0.4,linear,-1.675547955705535,332.1516343013924,63.848369177704456,278.6543787244387,0.3319186560797327,5541.27241212336,61.43350568906602,4982.260333163448,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,92.35454020205599,5.535860571689873,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.5,0.0,linear,0.3014179966240722,160.922988070985,26.412059953572708,-81.07256615112006,0.7641536730510706,2661.0919843591882,19.27159215578069,-1708.660841521944,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,44.35153307265314,2.6820498011830836,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.5,0.1,linear,0.3542354934664659,158.80196406404366,26.90403497013913,-32.64312823304021,0.8234385657851644,2471.288302744817,21.810835281291162,-807.873296245659,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,41.188138379080286,2.6466994010673943,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.5,0.2,linear,0.24427830500177727,174.09089854189594,30.681077481870982,31.682926674851526,0.8323112152437515,2723.5484140390263,27.349587054111456,388.591325041127,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,45.392473567317104,2.9015149756982654,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.5,0.3,linear,-0.1843979151081887,215.02477675251632,39.34839399280126,114.00105630294455,0.7358653121007015,3517.567732839335,36.67621700109054,1919.708536123658,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,58.62612888065558,3.5837462792086052,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.5,0.4,linear,-0.8171422128139636,269.44883987700786,51.09946280662895,193.4063841016961,0.579284520816775,4372.614221117919,47.51442697061147,3396.647633180436,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,72.87690368529866,4.490813997950131,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.55,0.0,linear,0.20925962869027448,167.45968181644486,26.575189324736215,-125.86829354674431,0.6902394285952114,2915.554466724527,17.84198980283338,-2541.8613710805557,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,48.592574445408786,2.7909946969407478,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.55,0.1,linear,0.3269777953427132,155.80247677456188,25.279221878525554,-81.84153180303538,0.7711059109013088,2601.1456978756037,18.496078778054322,-1722.9636026475691,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,43.35242829792673,2.596707946242698,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.55,0.2,linear,0.33550156860001124,158.60503555425612,26.660563188494883,-23.363300068588345,0.8224827044545454,2535.3309819752417,21.795055918722074,-635.2684923868545,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,42.25551636625403,2.643417259237602,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.55,0.3,linear,0.1059725640359307,184.6045377898364,32.58204781819182,51.471363229678026,0.7981387943962398,3008.108078262727,28.77365940990837,756.6562449609003,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,50.13513463771211,3.0767422964972733,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.55,0.4,linear,-0.302508836897051,225.27295377487553,41.7769970928164,123.6580248649067,0.7152254458308349,3642.954309169201,37.637172762547465,2099.3281513761535,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,60.71590515282002,3.754549229581259,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.6,0.0,linear,0.080586940046809,182.7321662063018,28.665439073224334,-163.19806637643117,0.6124538912470037,3336.4825720659614,20.19848007496649,-3236.1951457127307,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,55.608042867766024,3.0455361034383635,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.6,0.1,linear,0.2417400417527168,162.34099986818984,25.646537019125315,-122.84020144469793,0.7071844429460741,2863.027317235462,17.95031965491529,-2485.538857982493,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,47.71712195392436,2.7056833311364974,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.6,0.2,linear,0.3324238749105989,154.4269910100058,24.91020476709076,-69.2351556881215,0.7873644366545781,2492.9938530301165,18.364296411250454,-1488.4850069101706,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,41.54989755050194,2.5737831835000966,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.6,0.3,linear,0.2443794506501059,167.47585104047135,28.387230234143416,-0.6367143313773004,0.8134294649892658,2672.8473950418784,23.111597945255642,-212.55399767472886,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,44.54745658403131,2.791264184007856,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.6,0.4,linear,-0.0026904747332558987,196.03742738162413,35.2823597995651,65.53439216758233,0.7828256370417982,3181.156916569952,30.60171211944204,1018.2285832059205,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,53.019281942832535,3.267290456360402,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.65,0.0,linear,-0.065123594390184,203.27844232294228,31.953658087248275,-194.7847972323201,0.5351392647559221,3852.720883144119,24.828436070844166,-3823.708339632265,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,64.21201471906865,3.3879740387157047,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.65,0.1,linear,0.1252207554699133,176.1542943629343,27.529476470023763,-157.5313834491818,0.6386750903789665,3226.975263987104,20.25183663521344,-3130.7948432658914,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,53.782921066451735,2.935904906048905,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.65,0.2,linear,0.27365606544232135,159.5472288594567,25.147831408950832,-108.04980275080355,0.7385286180009045,2725.7847125004605,18.175202986221066,-2210.4374422760566,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,45.42974520834101,2.659120480990945,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.65,0.3,linear,0.2879531977809715,160.47471859522915,26.235862210295814,-44.728164575347364,0.8003767912402244,2578.8424222219905,19.65808482750145,-1032.6549722125724,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,42.98070703703318,2.674578643253819,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.65,0.4,linear,0.1593739729435908,179.01140256711906,31.171530881446657,16.35285680830767,0.8075875174387057,2841.7321948901877,25.12047272700916,103.4520255234115,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,47.36220324816979,2.9835233761186513,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.7,0.0,linear,-0.2168918642067419,225.06843005706395,35.70140125110885,-221.85913796593914,0.4604821279212631,4333.983806097962,29.54489097266455,-4327.2910772775795,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,72.23306343496603,3.751140500951066,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.7,0.1,linear,-0.007043172333975889,194.8775342550338,30.519373685195323,-187.26668231016785,0.5694306463698493,3716.122914214032,24.69331669274335,-3683.8714020802317,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,61.9353819035672,3.2479589042505634,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.7,0.2,linear,0.1823071480534677,169.85577909598692,26.51247959683361,-141.31950023310227,0.682719285360617,3040.7297769796564,20.115291101634853,-2829.253815446814,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,50.678829616327604,2.830929651599782,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.7,0.3,linear,0.27164810633905256,161.39966764773877,25.671022330561293,-82.52083621303585,0.7702260122723266,2639.282165800515,18.907229111616637,-1735.5986646735778,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,43.98803609667525,2.689994460795646,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.7,0.4,linear,0.23143530664603906,170.48689712779554,28.75526296767142,-25.802744928213315,0.8051452810453978,2625.2514501269484,21.233863752692933,-680.6421667758788,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,43.75419083544914,2.841448285463259,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.75,0.0,linear,-0.3684899308044465,246.6827921443079,39.53877782335733,-245.32356660174236,0.3895166414489718,4763.729449903518,34.0190889193267,-4763.729449903518,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,79.3954908317253,4.111379869071799,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.75,0.1,linear,-0.14585663263658977,215.80504799454977,34.11801051080981,-213.03727465635575,0.5015622623447553,4170.495406596622,29.055310913624076,-4163.204419719328,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,69.50825677661037,3.5967507999091626,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,in_sample,0.75,0.2,linear,0.07254229272581414,183.6078113502133,28.70477707319747,-170.1532380510946,0.6239351526393038,3412.340675637406,23.40516485668829,-3365.561338861471,ctlReadinessFactor,False,decayed,decayedTrimpBefore,18.0,0.85,0.3,1.0,0.5,0.2,56.87234459395677,3.0601301891702217,,
