cohort,stage,r2,maeMin,mapePct,biasMin,validation,fitObjective,fatigueState,acuteTrimpCol,fatigueModel,alpha,fatigueCoef
hardRunOrTrailRun,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9496125816582712,12.337382315783097,8.170025091382826,-5.374680244499003,loo,segment,decayed,decayedTrimpBefore,linear,0.8,0.2
hardRunOrTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9564722547017666,11.191274782944172,7.676189671809692,-6.608165018285382,in_sample,segment,decayed,decayedTrimpBefore,exponential,0.85,0.3
hardRunOrTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9564722547017666,11.191274782944175,7.676189671809691,-6.608165018285382,loo,segment,decayed,decayedTrimpBefore,exponential,0.85,0.3
hardRunOrTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear,0.95517933881627,13.940555433793575,10.395868678556203,-4.92732767080418,in_sample,segment,cumulative,cumTrimpBefore,linear,0.85,0.1
hardRunOrTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.95517933881627,13.940555433793575,10.395868678556203,-4.927327670804179,loo,segment,cumulative,cumTrimpBefore,linear,0.85,0.1
hardRunOrTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9493696866458309,13.774631731432553,10.320877395328928,-8.348547119602417,in_sample,segment,cumulative,cumTrimpBefore,exponential,0.85,0.1
hardRunOrTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9428578103736649,14.25405123742599,10.388950971530193,-7.869127613608978,loo,segment,cumulative,cumTrimpBefore,exponential,0.85,0.1
hardRunOrTrailRun,Stage 3 HRR speed ratio linear progress linear,0.940770388218897,17.033557707150553,15.01381842137837,-0.1252677910121229,in_sample,segment,progress,progress,linear,0.75,0.3
hardRunOrTrailRun,Stage 3 HRR speed ratio linear progress linear LOO,0.9238100803498486,18.11447595874849,15.205329511966998,-1.2061860426100581,loo,segment,progress,progress,linear,0.75,0.3
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP linear,0.9914127154460431,4.420846370101149,5.770767549693447,0.17826666840149527,in_sample,activity,decayed,decayedTrimpBefore,linear,0.8,0.2
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9914127154460431,4.42084637010115,5.770767549693448,0.17826666840149605,loo,activity,decayed,decayedTrimpBefore,linear,0.8,0.2
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9892508514456847,4.764688697809303,6.174770228115141,1.0335157743321481,in_sample,activity,decayed,decayedTrimpBefore,exponential,0.85,0.3
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9812995500533449,6.781515590189738,7.381814691385705,-0.5716214118116515,loo,activity,decayed,decayedTrimpBefore,exponential,0.85,0.3
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9792680996620577,7.007384449182044,7.7085243168944215,-0.6016525320137058,in_sample,activity,cumulative,cumTrimpBefore,linear,0.65,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9792680996620577,7.007384449182046,7.708524316894421,-0.6016525320137104,loo,activity,cumulative,cumTrimpBefore,linear,0.65,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9804592603408169,7.536743596405305,10.246626992814987,-3.540110519368368,in_sample,activity,cumulative,cumTrimpBefore,exponential,0.85,0.1
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9686452569027991,9.371340290138342,11.364688676123064,-5.35728835567419,loo,activity,cumulative,cumTrimpBefore,exponential,0.85,0.1
top10HardTrailByHRR,Stage 3 HRR speed ratio linear progress linear,0.9792680996620577,7.007384449182044,7.7085243168944215,-0.6016525320137058,in_sample,activity,progress,progress,linear,0.65,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio linear progress linear LOO,0.970620348692053,7.810534257402567,8.312472035821997,0.20149727620681007,loo,activity,progress,progress,linear,0.65,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP linear,0.9769352745193196,6.926697815231352,6.726038322292298,-5.066765354167221,in_sample,segment,decayed,decayedTrimpBefore,linear,0.75,0.1
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9845420442440084,5.702870719460037,6.663516571473975,-1.715327103316096,loo,segment,decayed,decayedTrimpBefore,linear,0.775,0.15000000000000002
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9888592331226338,4.94740864821621,5.865026657952431,-2.6791693506875185,in_sample,segment,decayed,decayedTrimpBefore,exponential,0.8,0.2
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9888592331226338,4.947408648216213,5.865026657952434,-2.679169350687523,loo,segment,decayed,decayedTrimpBefore,exponential,0.8,0.2
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9792680996620577,7.007384449182044,7.7085243168944215,-0.6016525320137058,in_sample,segment,cumulative,cumTrimpBefore,linear,0.65,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9534099509374324,9.377911616088353,9.033506040373895,-2.9721796989200175,loo,segment,cumulative,cumTrimpBefore,linear,0.65,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9792680996620577,7.007384449182044,7.7085243168944215,-0.6016525320137058,in_sample,segment,cumulative,cumTrimpBefore,exponential,0.65,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9361268798535843,12.52322604498068,13.083257144008243,-2.556730053627432,loo,segment,cumulative,cumTrimpBefore,exponential,0.675,0.0
top10HardTrailByHRR,Stage 3 HRR speed ratio linear progress linear,0.9632249724500993,8.761128653214676,8.19275417108202,-5.557370718371131,in_sample,segment,progress,progress,linear,0.8,0.3
top10HardTrailByHRR,Stage 3 HRR speed ratio linear progress linear LOO,0.9533856475307992,10.407558164627728,10.316987194054242,-3.9109412069580776,loo,segment,progress,progress,linear,0.8,0.3
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear,0.9893438930888796,8.05822886185177,3.861455226136887,-2.7811217184291146,in_sample,activity,decayed,decayedTrimpBefore,linear,0.8,0.2
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9714812234711407,15.597853206749516,6.093574074561555,5.139304680532442,loo,activity,decayed,decayedTrimpBefore,linear,0.8,0.2
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9918981269428768,7.761238057878164,3.452631761094223,-0.3473922167105508,in_sample,activity,decayed,decayedTrimpBefore,exponential,0.85,0.3
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9857513370600525,10.25451616531261,3.806656482899568,2.1458858907238816,loo,activity,decayed,decayedTrimpBefore,exponential,0.85,0.3
