cohort,fitObjective,activityIndex,segmentIndex,startKm,endKm,distanceKm,avgGrade,meanAltitudeM,elevGainM,elevLossM,progress,gapFactor,altitudePenalty,meanHrReserve,segmentTrimp,cumTrimpBefore,decayedTrimpBefore,terrainFamily,technicalityCombined,actualTimeSec,stage3PredictedTimeSec,stage3ResidualSec,stage3FatigueState,stage3AcuteTrimpCol,stage3FatigueModel
hardRunOrTrailRun,activity,A0001,0,0.0,0.998492152150015,0.998492152150015,-0.01265669392255262,65.22587744172296,5.500000000000021,19.10000000000003,0.08244355767113214,0.9477742832545298,0.000311332425071309,0.5803001071811362,0.09776222810944657,0.0,0.0,flat,0.3780154472441592,311.0,369.7599032171187,58.759903217118676,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0001,1,0.998492152150015,2.001245686915879,1.0027535347658638,0.025701585640107293,61.5364298934759,44.6,14.899999999999999,0.24768252709927183,1.1961663777337308,0.0002910658506600772,0.6884156378600824,0.14869810263951183,0.09776222810944657,0.09776222810944657,flat,0.49741084880107783,324.0,402.92552694779096,78.92552694779096,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0001,2,2.001245686915879,3.000571067195184,0.9993253802793052,-0.021630711624657146,77.83448520242331,0.7999999999999972,23.0,0.4129902945557009,0.89270008362353,0.0003829973085764937,0.7453679653679655,0.17073421670993386,0.2464603307489584,0.22873904528214045,flat,0.5756904201830532,308.0,284.40198751055414,-23.598012489445864,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0001,3,3.000571067195184,3.999769602353495,0.9991985351583113,0.005175752065104645,61.46065815405658,15.400000000000006,10.400000000000006,0.5780045325992698,1.039340989727567,0.00029065296545638386,0.7187460815047022,0.16201930462397565,0.4171945474588923,0.35800990751211925,flat,0.38294590533481904,319.0,352.86944513634637,33.86944513634637,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0001,4,3.999769602353495,4.998699533243915,0.9989299308904198,-0.0035518521873490138,67.30581495007071,5.800000000000011,9.800000000000011,0.7429861191548641,0.9876235366679207,0.00032289816884512046,0.7251785714285715,0.17432052807574447,0.5792138520828679,0.45513302581075166,flat,1.0,336.0,339.3581132390425,3.3581132390424955,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0001,5,4.998699533243915,6.001215579995305,1.0025160467513903,0.0024814329618316434,64.99371138931946,7.800000000000011,5.90000000000002,0.9082416261992271,1.0180104569633595,0.0003100477181570138,0.7288958333333333,0.16806580526519016,0.7535343801586124,0.5469519330484417,flat,0.2972821976752609,320.0,356.4618498540686,36.46184985406859,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0001,6,6.001215579995305,6.055610531346829,0.05439495135152406,-0.02713663573374084,65.27027871663012,0.0,1.8999999999999915,0.9955087145160716,0.8695520806376029,0.0003115782662735933,0.7304166666666667,0.008445448377851748,0.9216001854238025,0.6158721733073987,flat,0.05441914867356733,16.0,16.745314506393616,0.7453145063936155,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0004,0,0.0,1.0002495604533705,1.0002495604533705,0.059247349369850016,1292.9751146224642,96.0,37.20000000000027,0.09868567004525781,1.5911602003272616,0.02474471057992189,0.7701190476190476,0.2690751441745381,0.0,0.0,mixed_climb_descent,1.0,448.0,493.1589207599735,45.15892075997351,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0004,1,1.0002495604533705,2.000288196399436,1.0000386359460656,0.19845504017789514,1437.241975511489,195.50000000000023,0.0,0.29603620010280235,2.5891877613359355,0.02993161492701535,0.821608118657299,0.6040796708543483,0.2690751441745381,0.2690751441745381,steep_climb,1.0,854.0,799.0574453699045,-54.942554630095515,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0004,2,2.000288196399436,2.998027704600355,0.9977395082009188,0.20860041665530152,1687.7196731305953,225.50000000000023,17.5,0.49313908577421034,2.8139826203964056,0.04009400892159665,0.819236111111111,0.674021982241761,0.8731548150288864,0.8243797662789345,steep_climb,1.0,960.0,994.9255834023552,34.92558340235519,decayed,decayedTrimpBefore,linear
