windowSec,maxSpeedKmh,maxSpeedEqKmh
5,13.199101529480256,23.324414883904005
10,12.987683104674744,21.36544155722653
15,12.708619444448015,19.127904134284133
20,12.644908877221113,18.03987617158702
30,12.544907998720424,17.006658672808854
60,12.032715893348946,16.581803548029523
120,11.508166588869924,15.68183617624063
180,11.22509366309974,14.908952139427743
300,10.659529736353392,14.359035125410877
600,10.392180724155105,13.459069311485662
900,10.194224153459237,13.366548023094353
1200,9.751809384643865,12.829809135824693
1500,9.248361569307733,12.829809135824693
1800,9.370745635739441,12.829809135824693
2100,9.422929900009182,12.811375309637297
2400,9.42292990000918,12.485462614300083
2700,9.422929900009182,12.38269347477876
3000,9.422929900009182,12.282645563549911
3300,9.422929900009182,12.23745080297351
3600,9.422929900009182,12.196958977241943
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
