windowSec,maxSpeedKmh,maxSpeedEqKmh
5,21.046098138534305,40.00234849118366
10,20.545482280834907,39.17952558243529
15,19.77581405948047,38.14481679973156
20,19.00785170001953,35.59204983099035
30,18.065758210334867,28.70396406667824
60,13.428156202871744,25.418121382571897
120,10.715432407798385,21.833173546375203
180,10.271965483345609,17.662508256593807
300,10.271547050226363,16.161403331490124
600,8.544023893117927,13.676519284470633
900,8.561513168488489,12.144806197540955
1200,8.561513168488489,10.291576651036355
1500,8.510060987756924,9.080620443024257
1800,7.456086258836531,9.080620443024257
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
