windowSec,maxSpeedKmh,maxSpeedEqKmh
5,11.602297323598572,30.495664317298413
10,11.148228609691685,25.653981158527603
15,10.537458658730502,22.597933906829734
20,10.063196067873994,19.23241511822888
30,9.988003088574892,15.116967343493833
60,9.9119617273397,14.149860336812582
120,9.795863325092517,13.55683069232668
180,9.77996601507853,13.13477968435439
300,9.738069584117802,13.084946714164005
600,9.504437443059265,12.429113412339175
900,9.140574354393996,12.040097393851612
1200,8.98858659486799,11.417077125027323
1500,8.8802096806213,10.805291885171412
1800,8.759511914069082,10.384792961060857
2100,8.718748677850904,10.050424242575481
2400,8.691875736021002,9.894445932803816
2700,8.636276945278599,9.889838540228554
3000,8.636276945278599,9.889838540228554
3300,8.636276945278599,9.889838540228554
3600,8.531129136557496,9.889838540228554
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
