windowSec,maxSpeedKmh,maxSpeedEqKmh
5,12.620451764555765,13.912588461274087
10,12.54235439549436,13.615871206185705
15,12.414287166265952,13.28660581962219
20,12.244415272842167,12.94479721050432
30,12.158826942935915,12.128920560654054
60,11.665576233547243,11.454153852388453
120,11.356829740656861,11.260158832669582
180,11.28608744938913,11.143662439445665
300,11.248083169549243,11.064572504203888
600,10.88836243490846,10.860878576418674
900,10.754793995461537,10.798738009817978
1200,10.789912926567842,10.78729790727083
1500,10.789912926567842,10.78729790727083
1800,10.789912926567842,10.781391831249474
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
