windowSec,maxSpeedKmh,maxSpeedEqKmh
5,26.1634179647424,23.01937579111995
10,24.742126008847446,20.899650759891777
15,23.194644004073275,19.489543629674507
20,22.075541850014368,19.397318351115207
30,20.272360905839726,17.284322353200174
60,16.67550852162191,13.407795892103882
120,12.710180321703605,13.153417947574725
180,12.898799420242659,12.01161887669183
300,11.832595224222894,11.603977148221365
600,11.502811008545187,11.133751907489946
900,11.013264925050569,11.133751907489946
1200,9.114379999839326,10.849370841728842
1500,7.9922186460181015,9.231847082808336
1800,7.275783749608914,8.57411225519725
2100,6.742706997370631,8.312174655889569
2400,6.402874323862669,8.04970026472943
2700,6.328973479842877,7.918403658580257
3000,6.328973479842877,7.918403658580257
3300,6.328973479842877,7.918403658580257
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
