windowSec,maxSpeedKmh,maxSpeedEqKmh
5,14.763212958009367,29.658705819161803
10,14.500349443131219,28.889048397731024
15,14.038428015122092,28.78662625372283
20,13.489121437218838,27.863501466154467
30,12.584873615440268,27.126809715730975
60,11.572411101037774,24.875125134973114
120,10.881285715347097,14.563382447547495
180,9.759687753929027,14.116154880876287
300,8.917748220173657,13.324871924446262
600,8.472904712786304,13.010961744802417
900,8.208083495512255,12.889888809775304
1200,7.9535336007293775,12.713117386144106
1500,7.696515183959207,12.713117386144106
1800,7.473213094284129,12.713117386144106
2100,7.350673290406643,12.47133372060106
2400,7.271513767968976,11.669853375599736
2700,7.218659832869737,11.47424351639975
3000,7.2186598328697364,11.391055670214696
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
