windowSec,maxSpeedKmh,maxSpeedEqKmh
5,16.613946508043266,24.368271696863566
10,15.285537084493537,18.33688511985594
15,14.269957747863536,16.18109235465584
20,13.40482792794253,14.158415892199807
30,13.12199115706906,13.713197478802913
60,11.981738380919882,12.256996044186872
120,11.67888981286063,12.07957860219987
180,11.598252211141963,11.798286431415347
300,11.522411862562903,11.503836079045694
600,11.416766233920017,11.420435428115065
900,11.36240452284896,11.419327984084266
1200,11.372712410674863,11.299101784856747
1500,11.314996583442557,11.330885239241713
1800,11.270346085621883,11.28559383840191
2100,11.236293036199744,11.28559383840191
2400,11.221610108755115,11.28559383840191
2700,11.221610108755115,11.28559383840191
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
