windowSec,maxSpeedKmh,maxSpeedEqKmh
5,24.39113568255049,27.109402348663558
10,23.442543517236455,25.664143608457827
15,22.55217067132242,23.972021904708242
20,21.94866104915655,22.746188262276267
30,21.409852118156117,22.040986436547907
60,20.680630480108967,20.79770870569186
120,20.214674843962037,20.136593354167314
180,19.200520725391886,19.076897608847577
300,17.033139314900854,17.143901023813438
600,,
900,,
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
