windowSec,maxSpeedKmh,maxSpeedEqKmh
5,24.894506147426274,28.09500206294017
10,24.73121971922162,25.36521357190474
15,23.97565841611915,24.372821132937194
20,23.563367789911855,23.79394763412315
30,22.6858144967039,23.360613340971117
60,20.23062980416968,20.813700960760425
120,18.21679390430192,18.25532947513572
180,17.227394500806177,17.62320741413584
300,17.111062390498528,17.24318179521485
600,15.824901491518158,16.081365202507136
900,,
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
