windowSec,maxSpeedKmh,maxSpeedEqKmh
5,23.76049905803901,19.981551854604938
10,23.559257017701782,18.855720703230375
15,23.42853297257361,18.241351098037136
20,23.281357975058988,17.94761645149955
30,22.898267072252434,17.73494264755589
60,21.074681123539,17.17152239541415
120,17.67318269299952,16.603748753862686
180,15.114077324791106,15.825448335557368
300,13.07743511739906,14.445863410201197
600,12.337148970273153,13.095966801028933
900,11.768242100543127,12.271971234207712
1200,11.284482488862608,12.054101794879562
1500,11.365913413036006,12.273721116429098
1800,11.368563370881787,12.198994370885513
2100,11.247918233767779,11.82613553168434
2400,11.247918233767779,11.899612352870248
2700,11.247918233767779,11.800779971772318
3000,11.116363345644613,11.714244604946256
3300,11.116363345644613,11.676414331067695
3600,11.116363345644613,11.717282245162597
4500,11.071111434696798,11.627897015452984
5400,10.872330122590553,11.46475276664448
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
