windowSec,maxSpeedKmh,maxSpeedEqKmh
5,23.456101143027286,26.47449486255976
10,22.19954248368489,25.2443196256973
15,21.583702132595818,22.139034770675547
20,20.994594832488616,21.960447391191693
30,19.84804171830924,20.259748059631395
60,18.76952872900664,19.019964266427344
120,18.027342310921494,18.210053971352103
180,17.83765400147326,17.97592615153629
300,17.26762513554752,17.357240353032925
600,16.70421635312214,16.724365675836836
900,16.70421635312214,16.724365675836836
1200,16.70421635312214,16.724365675836836
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
