windowSec,maxSpeedKmh,maxSpeedEqKmh
5,25.372474327600894,30.208257684011038
10,24.842397006854664,26.48958724633182
15,23.92252593522473,25.623216983088263
20,23.44842503443976,25.13162086141518
30,23.084858125515883,24.457837885090147
60,21.516295288471067,21.81987840892249
120,21.101352442750233,21.28895054023685
180,20.344100943694748,20.419240830699206
300,17.486369101436278,17.64989181533
600,14.491008515135109,14.57667917943727
900,10.99052081430219,11.0183230253532
1200,10.700666362749052,10.707386836256363
1500,10.555338531430628,10.606090372084656
1800,10.555338531430628,10.606090372084656
2100,10.555338531430628,10.606090372084656
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
