windowSec,maxSpeedKmh,maxSpeedEqKmh
5,27.58652903649151,30.903330387086033
10,26.444341735899787,30.334007625977126
15,25.812244904986525,27.608277315207506
20,25.07007508548768,26.424921919740417
30,24.096169221348877,25.450221844536774
60,21.981552372828833,22.850573145875785
120,21.509879183171357,21.965416316477203
180,20.876814397431467,21.422262526781278
300,20.53593458092221,20.93503818427079
600,19.837865471518043,19.952372084174673
900,19.837865471518043,19.952372084174673
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
