windowSec,maxSpeedKmh,maxSpeedEqKmh
5,19.614496840736773,28.66493212507469
10,19.47839650027542,26.225951677145456
15,19.416797042910513,24.44323015095269
20,19.2170151415192,23.53951593669205
30,18.47046460371986,21.502729772211904
60,16.68475488895086,18.483226218947628
120,13.558338799325895,18.27229816810903
180,13.103785473436805,16.87648873982635
300,13.103785473436805,14.300719335300746
600,11.645099743743078,12.975955657616723
900,10.976306768742294,12.394542052046894
1200,10.976306768742294,12.599855399874189
1500,10.976306768742294,12.422547927401661
1800,10.86229161021402,12.221116037638875
2100,10.635360743669402,12.048072373866578
2400,10.10208292008103,11.875673797831492
2700,10.076771926888924,11.698669394484979
3000,9.80867786245949,11.549192531900058
3300,9.26092328932647,11.563531033458176
3600,9.115355446352083,11.563531033458176
4500,8.748210179665293,11.563531033458176
5400,8.748210179665293,11.563531033458176
7200,8.160674083715417,11.416870790829332
9000,8.160674083715417,10.77537040139949
12600,7.795571329568779,10.405712492209867
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
