windowSec,maxSpeedKmh,maxSpeedEqKmh
5,20.39861671456224,24.94347775419021
10,20.175464892505214,21.73418129821485
15,19.901021633098015,21.630588224622425
20,19.52363878524151,20.348838819725685
30,18.54599863060472,19.030115629129828
60,15.229543845638208,15.332945789816948
120,12.62101157490371,12.61778373031444
180,11.575422274864328,11.520093639760514
300,8.490359980268918,8.462415016233777
600,5.765768859952604,5.76872461017766
900,4.344996372560489,4.361603998094234
1200,3.651087446882713,3.6674548875353206
1500,3.1915423876388216,3.197969046842638
1800,2.969270717289707,2.9766239539307406
2100,2.775421236786271,2.786510237805496
2400,2.6920298482378433,2.700123620591388
2700,2.568659494600291,2.5710961013122757
3000,2.4614283433805335,2.4677845877728224
3300,2.4106110955747533,2.4176322352457693
3600,2.3586884836564574,2.362851768075555
4500,2.3556126290969854,2.3593773232635975
5400,2.3556126290969854,2.3593773232635975
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
