windowSec,maxSpeedKmh,maxSpeedEqKmh
5,33.713496666587716,27.64717763565094
10,33.36378931135951,24.730312873510037
15,32.71991332333785,24.04785008771935
20,32.02947142705514,23.88050789521491
30,31.34787356684984,22.585382340428914
60,29.27198236032112,21.128279448030703
120,28.362167363136958,19.28501734796587
180,27.607089323459522,16.524056648770205
300,25.11020466352105,14.619446463157052
600,24.36049845932171,14.098628796760535
900,21.802704210489942,13.543479912012696
1200,17.456711554031383,12.130413842051981
1500,15.019095996953235,11.777832840648713
1800,13.297595865552834,11.777832840648713
2100,12.119960930498806,11.777832840648713
2400,11.073870599596484,11.777832840648713
2700,10.181706099335003,11.677066265529172
3000,9.504559412539596,11.614705500991183
3300,8.992118193900868,11.061652098605649
3600,8.941008008805758,11.061652098605649
4500,8.941008008805758,10.371836934701063
5400,7.95087730794449,10.195985409811295
7200,6.697502878772868,10.195985409811295
9000,6.425082076697075,10.090361901500705
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
