zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,124.96753921587504,91.4,146.53333333333333,5214.0,,,88.3130081300813
2,Z2,152.56451851851853,146.6,163.63333333333333,627.0,,,10.619918699186993
3,Z3,166.4030303030303,163.7,168.93333333333334,63.0,,,1.0670731707317074
4,Z4,,,,0.0,,,0.0
