zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,127.44356085661815,90.46666666666667,137.13333333333333,114.0,8.947395,9.17852042638998,7.12054965646471
2,Z2,143.5298523206751,137.26666666666668,151.2,316.0,11.17367088607595,11.088622359380743,19.737663960024985
3,Z3,157.32143360525671,151.23333333333332,164.76666666666668,354.0,11.133152542372882,11.167338129280122,22.11118051217989
4,Z4,175.16748266013872,164.83333333333334,189.8,817.0,14.562947368421053,14.539232844437981,51.030605871330415
