zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,119.9404827355227,96.0,137.2,89.0,8.2872,9.22529558848984,3.0272108843537415
2,Z2,144.46023409371043,137.33333333333334,149.6,2295.0,10.578679423328964,10.590720771475041,78.06122448979592
3,Z3,151.64034772182256,149.63333333333333,156.2,556.0,10.964071942446044,10.8643131008812,18.911564625850342
4,Z4,,,,0.0,,,0.0
