zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,112.39131281527314,87.06666666666666,130.83333333333334,13217.0,16.07903908045977,17.039548820036103,82.48767396867004
2,Z2,141.58876678876678,130.86666666666667,154.3,2667.0,22.9326,24.05274054415242,16.644823066841415
3,Z3,158.02740740740742,154.93333333333334,160.96666666666667,139.0,18.41344,21.968712178816656,0.8675029644885477
4,Z4,,,,0.0,,,0.0
