zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,126.29029396575365,106.06666666666666,144.2,1986.0,,,98.17103311913
2,Z2,146.18636363636364,144.4,148.16666666666666,37.0,,,1.828966880869995
3,Z3,,,,0.0,,,0.0
4,Z4,,,,0.0,,,0.0
