zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,131.12993892317738,93.4,136.76666666666668,249.0,10.86876,10.991545791882572,6.580338266384778
2,Z2,147.23696783637587,136.83333333333334,153.46666666666667,876.0,9.717107514450868,10.558532964458694,23.150105708245245
3,Z3,159.0677162504524,153.5,166.63333333333333,921.0,9.825146579804562,10.842322620160369,24.339323467230443
4,Z4,171.17675489067895,166.66666666666666,177.63333333333333,1738.0,13.000805523590335,12.693797092225156,45.93023255813954
