zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,129.7619514606505,113.86666666666666,134.7,516.0,5.279296222664016,9.687563189785006,23.390752493200363
2,Z2,140.94610832068878,134.73333333333332,151.4,842.0,6.157201466992665,8.546670373469578,38.168631006346324
3,Z3,159.86745655608215,151.6,167.36666666666667,211.0,5.575734597156398,11.818267128244527,9.56482320942883
4,Z4,178.92339089481945,167.53333333333333,187.93333333333334,637.0,8.9665431711146,14.495338096720788,28.875793291024475
