zone,zone_label,hr_mean,hr_min,hr_max,time_seconds,avg_speed_kmh,avg_speedeq_kmh,pct_time
1,Z1,130.14647306231828,102.0625,135.06666666666666,676.0,7.674923076923077,8.512999939296748,14.818062253397631
2,Z2,142.80568920329898,135.1,151.1,2317.0,8.138679663269826,8.795381982473495,50.789127575624725
3,Z3,156.8025641025641,151.13333333333333,167.06666666666666,1508.0,6.43363925729443,9.88635027629496,33.055677334502406
4,Z4,169.20000000000002,167.16666666666666,170.6,61.0,3.6377704918032787,9.990075616829186,1.3371328364752302
