lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-01-11T10:00:26Z,0.63,265.0,265.0,8.57,9.0,0.72,130.6,162.0,0.504,63.7,0.06,Run
2,2,Lap 2,2025-01-11T10:09:08Z,1.83,1475.0,1475.0,4.46,9.8,1.928,157.0,190.0,0.68,76.6,0.66,Run
3,3,Lap 3,2025-01-11T10:36:11Z,1.694,2094.0,2094.0,2.92,11.8,1.812,125.7,165.0,0.471,61.3,0.43,Recovery
4,4,Lap 4,2025-01-11T11:23:32Z,2.757,1898.0,1898.0,5.22,10.2,2.859,118.8,149.0,0.425,58.0,0.32,Recovery
5,5,Lap 5,2025-01-11T11:48:40Z,1.776,1225.0,1225.0,5.22,9.8,1.874,142.1,174.0,0.581,69.3,0.39,Run
6,6,Lap 6,2025-01-11T12:02:04Z,1.758,934.0,934.0,6.77,11.2,1.87,125.0,163.0,0.467,61.0,0.19,Recovery
7,7,Lap 7,2025-01-11T12:17:31Z,5.252,1913.0,1913.0,9.9,10.0,5.352,126.4,174.0,0.476,61.7,0.4,Recovery
8,8,Lap 8,2025-01-11T13:11:21Z,5.387,3337.0,3337.0,5.8,9.4,5.481,128.6,159.0,0.491,62.7,0.75,Recovery
9,9,Lap 9,2025-01-11T13:51:21Z,3.558,1651.0,1651.0,7.74,9.6,3.654,133.8,161.0,0.525,65.3,0.42,Run
10,10,Lap 10,2025-01-11T14:10:36Z,3.664,1427.0,1427.0,9.25,10.2,3.766,124.6,155.0,0.464,60.8,0.29,Recovery
11,11,Lap 11,2025-01-11T14:38:02Z,1.643,1067.0,1067.0,5.54,10.0,1.743,115.6,142.0,0.404,56.4,0.17,Recovery
12,12,Lap 12,2025-01-11T14:50:40Z,1.609,2242.0,2242.0,2.59,13.8,1.748,101.6,142.0,0.311,49.6,0.22,Recovery
