lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-08-17T17:18:40Z,1.0,336.0,336.0,10.73,5.2,1.052,138.8,149.0,0.559,67.7,0.1,Run
2,2,Lap 2,2025-08-17T17:24:18Z,1.0,323.0,323.0,11.16,10.2,1.102,149.5,161.0,0.63,72.9,0.12,Run
3,3,Lap 3,2025-08-17T17:29:42Z,1.0,338.0,338.0,10.66,10.0,1.1,148.6,157.0,0.624,72.5,0.12,Run
4,4,Lap 4,2025-08-17T17:35:20Z,1.0,321.0,321.0,11.23,9.2,1.092,150.4,158.0,0.636,73.4,0.12,Run
5,5,Lap 5,2025-08-17T17:40:42Z,1.0,335.0,335.0,10.76,0.0,1.0,145.1,158.0,0.601,70.8,0.11,Run
6,6,Lap 6,2025-08-17T17:46:18Z,1.0,353.0,353.0,10.19,2.4,1.024,155.3,158.0,0.669,75.8,0.15,Run
7,7,Lap 7,2025-08-17T17:52:11Z,1.0,453.0,453.0,7.96,32.6,1.326,151.2,158.0,0.641,73.8,0.18,Run
8,8,Lap 8,2025-08-17T17:59:44Z,1.0,413.0,413.0,8.71,47.8,1.478,150.3,165.0,0.635,73.3,0.16,Run
9,9,Lap 9,2025-08-17T18:06:38Z,1.0,336.0,336.0,10.73,1.2,1.012,144.8,156.0,0.599,70.6,0.11,Run
10,10,Lap 10,2025-08-17T18:12:14Z,1.0,332.0,332.0,10.84,7.6,1.076,144.3,151.0,0.595,70.4,0.11,Run
11,11,Lap 11,2025-08-17T18:17:47Z,1.0,346.0,346.0,10.4,23.4,1.234,149.7,164.0,0.631,73.0,0.13,Run
12,12,Lap 12,2025-08-17T18:23:34Z,1.0,339.0,339.0,10.62,11.2,1.112,147.6,158.0,0.617,72.0,0.12,Run
13,13,Lap 13,2025-08-17T18:29:13Z,0.354,113.0,962.0,11.27,0.0,0.354,137.5,145.0,0.55,67.1,0.03,Run
14,14,Lap 14,2025-08-17T18:45:15Z,0.759,277.0,277.0,9.86,56.6,1.325,160.8,170.0,0.705,78.4,0.13,Run
