lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-09-07T17:27:09Z,1.0,443.0,443.0,8.14,7.8,1.078,147.5,160.0,0.617,72.0,0.16,Run
2,2,Lap 2,2024-09-07T17:34:34Z,1.0,456.0,456.0,7.88,43.4,1.434,165.1,179.0,0.734,80.5,0.24,Run
3,3,Lap 3,2024-09-07T17:42:10Z,1.0,370.0,370.0,9.72,0.0,1.0,163.6,169.0,0.724,79.8,0.19,Run
4,4,Lap 4,2024-09-07T17:48:21Z,1.0,370.0,370.0,9.72,17.6,1.176,169.9,184.0,0.766,82.9,0.22,Run
5,5,Lap 5,2024-09-07T17:54:31Z,1.0,362.0,362.0,9.94,8.6,1.086,171.8,178.0,0.779,83.8,0.22,Run
6,6,Lap 6,2024-09-07T18:00:34Z,1.0,344.0,344.0,10.48,9.0,1.09,179.4,186.0,0.829,87.5,0.25,Run
7,7,Lap 7,2024-09-07T18:06:18Z,0.045,16.0,16.0,10.15,0.0,0.045,182.1,186.0,0.847,88.8,0.01,Run
