lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-04-05T09:24:07Z,1.0,775.0,776.0,4.64,21.8,1.218,117.0,145.0,0.413,57.1,0.13,Recovery
2,2,Lap 2,2025-04-05T09:24:07Z,1.0,756.0,756.0,4.75,164.8,2.648,159.3,173.0,0.695,77.7,0.36,Run
3,3,Lap 3,2025-04-05T09:24:07Z,1.0,717.0,717.0,5.0,122.0,2.22,158.3,178.0,0.689,77.2,0.33,Run
4,4,Lap 4,2025-04-05T09:24:07Z,1.0,659.0,659.0,5.47,111.8,2.118,157.1,166.0,0.681,76.6,0.29,Run
5,5,Lap 5,2025-04-05T09:24:07Z,0.31,216.0,215.0,5.15,10.8,0.418,150.6,162.0,0.637,73.5,0.08,Run
6,6,Lap 6,2025-04-05T09:24:07Z,1.0,705.0,705.0,5.11,149.0,2.49,163.4,180.0,0.723,79.7,0.36,Run
7,7,Lap 7,2025-04-05T09:24:07Z,1.0,738.0,738.0,4.9,145.6,2.456,171.1,191.0,0.774,83.5,0.45,Run
8,8,Lap 8,2025-04-05T09:24:07Z,0.66,581.0,581.0,4.1,120.8,1.868,171.8,183.0,0.779,83.8,0.36,Run
9,9,Lap 9,2025-04-05T09:24:07Z,1.0,833.0,833.0,4.32,53.2,1.532,150.0,172.0,0.633,73.2,0.32,Run
10,10,Lap 10,2025-04-05T09:24:07Z,1.0,489.0,489.0,7.34,29.6,1.296,156.8,173.0,0.679,76.5,0.22,Run
11,11,Lap 11,2025-04-05T09:24:07Z,1.0,348.0,348.0,10.33,0.0,1.0,160.2,171.0,0.701,78.1,0.17,Run
12,12,Lap 12,2025-04-05T09:24:07Z,1.0,385.0,385.0,9.36,0.0,1.0,151.3,156.0,0.642,73.8,0.15,Run
13,13,Lap 13,2025-04-05T09:24:07Z,1.0,526.0,526.0,6.84,10.8,1.108,150.3,158.0,0.635,73.3,0.2,Run
14,14,Lap 14,2025-04-05T09:24:07Z,1.0,917.0,917.0,3.92,190.2,2.902,151.9,169.0,0.646,74.1,0.36,Run
15,15,Lap 15,2025-04-05T09:24:07Z,1.0,981.0,981.0,3.67,188.6,2.886,158.1,166.0,0.687,77.1,0.45,Run
16,16,Lap 16,2025-04-05T09:24:07Z,0.848,904.0,904.0,3.38,184.4,2.692,160.1,173.0,0.701,78.1,0.43,Run
17,17,Lap 17,2025-04-05T09:24:07Z,0.081,564.0,564.0,0.5,4.8,0.129,128.7,161.0,0.491,62.8,0.13,Recovery
18,18,Lap 18,2025-04-05T09:24:07Z,1.0,476.0,476.0,7.56,0.0,1.0,133.0,145.0,0.52,64.9,0.12,Run
19,19,Lap 19,2025-04-05T09:24:07Z,1.0,330.0,330.0,10.91,0.0,1.0,150.3,162.0,0.635,73.3,0.13,Run
20,20,Lap 20,2025-04-05T09:24:07Z,1.0,378.0,378.0,9.54,0.0,1.0,156.7,183.0,0.678,76.4,0.17,Run
21,21,Lap 21,2025-04-05T09:24:07Z,1.0,408.0,408.0,8.82,0.0,1.0,168.1,176.0,0.754,82.0,0.23,Run
22,22,Lap 22,2025-04-05T09:24:07Z,1.0,583.0,583.0,6.19,9.4,1.094,168.1,178.0,0.754,82.0,0.33,Run
23,23,Lap 23,2025-04-05T09:24:07Z,1.0,582.0,582.0,6.19,7.8,1.078,165.9,181.0,0.739,80.9,0.32,Run
24,24,Lap 24,2025-04-05T09:24:07Z,1.0,693.0,693.0,5.18,10.4,1.104,156.5,172.0,0.677,76.3,0.31,Run
25,25,Lap 25,2025-04-05T09:24:07Z,1.0,497.0,497.0,7.24,0.0,1.0,155.0,161.0,0.667,75.6,0.21,Run
26,26,Lap 26,2025-04-05T09:24:07Z,0.898,466.0,466.0,6.95,8.4,0.982,149.0,169.0,0.627,72.7,0.17,Run
