lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-09-16T17:30:13Z,1.821,1288.0,1288.0,5.08,213.0,3.951,144.2,161.0,0.595,70.3,0.43,Run
2,2,Lap 2,2025-09-16T17:51:42Z,0.133,60.0,60.0,7.99,23.6,0.369,156.7,181.0,0.678,76.4,0.03,Run
3,3,Lap 3,2025-09-16T17:52:42Z,0.155,90.0,90.0,6.19,1.6,0.171,160.4,183.0,0.703,78.2,0.04,Run
4,4,Lap 4,2025-09-16T17:54:13Z,0.128,60.0,60.0,7.7,27.2,0.4,162.8,184.0,0.719,79.4,0.03,Run
5,5,Lap 5,2025-09-16T17:55:13Z,0.145,92.0,92.0,5.69,1.0,0.155,156.9,185.0,0.679,76.5,0.04,Run
6,6,Lap 6,2025-09-16T17:56:46Z,0.126,60.0,60.0,7.56,26.0,0.386,157.4,177.0,0.683,76.8,0.03,Run
7,7,Lap 7,2025-09-16T17:57:46Z,0.155,90.0,90.0,6.19,1.2,0.167,168.7,184.0,0.758,82.3,0.05,Run
8,8,Lap 8,2025-09-16T17:59:16Z,0.129,60.0,60.0,7.74,27.8,0.407,164.9,187.0,0.733,80.4,0.03,Run
9,9,Lap 9,2025-09-16T18:00:16Z,0.153,90.0,90.0,6.12,0.8,0.161,165.4,188.0,0.736,80.7,0.05,Run
10,10,Lap 10,2025-09-16T18:01:47Z,0.12,60.0,60.0,7.16,25.2,0.372,163.9,181.0,0.726,80.0,0.03,Run
11,11,Lap 11,2025-09-16T18:02:47Z,0.148,87.0,87.0,6.16,1.6,0.164,169.8,184.0,0.765,82.8,0.05,Run
12,12,Lap 12,2025-09-16T18:04:14Z,0.123,60.0,60.0,7.38,26.4,0.387,167.2,185.0,0.748,81.6,0.03,Run
13,13,Lap 13,2025-09-16T18:05:14Z,0.157,89.0,89.0,6.37,0.8,0.165,171.2,187.0,0.775,83.5,0.05,Run
14,14,Lap 14,2025-09-16T18:06:44Z,0.12,60.0,60.0,7.2,25.2,0.372,166.0,183.0,0.74,81.0,0.03,Run
15,15,Lap 15,2025-09-16T18:07:44Z,0.143,90.0,90.0,5.72,1.2,0.155,168.3,185.0,0.755,82.1,0.05,Run
16,16,Lap 16,2025-09-16T18:09:15Z,0.123,60.0,60.0,7.38,26.0,0.383,166.3,186.0,0.742,81.1,0.03,Run
17,17,Lap 17,2025-09-16T18:10:15Z,0.148,88.0,88.0,6.08,0.6,0.154,170.2,187.0,0.768,83.0,0.05,Run
18,18,Lap 18,2025-09-16T18:11:43Z,0.123,60.0,60.0,7.42,26.0,0.383,167.2,186.0,0.748,81.6,0.03,Run
19,19,Lap 19,2025-09-16T18:12:43Z,0.152,91.0,91.0,6.01,1.4,0.166,170.3,188.0,0.769,83.1,0.05,Run
20,20,Lap 20,2025-09-16T18:14:14Z,0.151,60.0,60.0,9.07,32.4,0.475,179.0,197.0,0.827,87.3,0.04,Run
21,21,Lap 21,2025-09-16T18:15:14Z,0.234,120.0,120.0,7.02,2.2,0.256,167.1,198.0,0.747,81.5,0.07,Run
22,22,Lap 22,2025-09-16T18:17:15Z,0.804,343.0,343.0,8.46,0.0,0.804,142.4,152.0,0.583,69.5,0.11,Run
