lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-08-24T14:14:02Z,1.0,307.0,307.0,11.74,9.0,1.09,147.8,157.0,0.619,72.1,0.11,Run
2,2,Lap 2,2024-08-24T14:19:11Z,1.0,288.0,288.0,12.49,8.2,1.082,171.1,182.0,0.774,83.5,0.18,Run
3,3,Lap 3,2024-08-24T14:23:59Z,1.0,294.0,294.0,12.24,5.6,1.056,178.0,184.0,0.82,86.8,0.21,Run
4,4,Lap 4,2024-08-24T14:28:54Z,1.0,346.0,346.0,10.4,26.6,1.266,178.2,186.0,0.821,86.9,0.24,Run
5,5,Lap 5,2024-08-24T14:34:41Z,1.0,308.0,308.0,11.7,6.8,1.068,173.0,178.0,0.787,84.4,0.2,Run
6,6,Lap 6,2024-08-24T14:39:50Z,1.0,372.0,372.0,9.68,3.0,1.03,165.3,176.0,0.735,80.6,0.2,Run
7,7,Lap 7,2024-08-24T14:46:02Z,1.0,347.0,347.0,10.37,13.2,1.132,163.5,173.0,0.723,79.8,0.18,Run
8,8,Lap 8,2024-08-24T14:51:49Z,1.0,380.0,380.0,9.47,15.0,1.15,170.8,180.0,0.772,83.3,0.23,Run
9,9,Lap 9,2024-08-24T14:58:10Z,1.0,367.0,367.0,9.79,21.0,1.21,168.6,175.0,0.757,82.2,0.21,Run
10,10,Lap 10,2024-08-24T15:04:18Z,1.0,388.0,388.0,9.29,25.8,1.258,170.9,175.0,0.773,83.4,0.23,Run
11,11,Lap 11,2024-08-24T15:10:46Z,1.0,374.0,374.0,9.61,26.0,1.26,168.7,176.0,0.758,82.3,0.22,Run
12,12,Lap 12,2024-08-24T15:17:00Z,1.0,340.0,340.0,10.58,13.0,1.13,168.1,176.0,0.754,82.0,0.19,Run
13,13,Lap 13,2024-08-24T15:22:41Z,1.0,330.0,330.0,10.91,28.0,1.28,179.4,183.0,0.829,87.5,0.24,Run
14,14,Lap 14,2024-08-24T15:28:11Z,0.08,27.0,27.0,10.73,0.0,0.08,182.7,183.0,0.851,89.1,0.02,Run
