lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-10-23T19:39:46Z,2.139,775.0,775.0,9.94,32.4,2.463,139.5,154.0,0.563,68.0,0.23,Run
2,2,Lap 2,2025-10-23T19:52:43Z,0.152,30.0,30.0,18.22,0.0,0.152,158.3,174.0,0.689,77.2,0.01,Run
3,3,Lap 3,2025-10-23T19:53:13Z,0.087,30.0,30.0,10.48,0.0,0.087,168.6,174.0,0.757,82.2,0.02,Run
4,4,Lap 4,2025-10-23T19:53:43Z,0.147,30.0,30.0,17.6,3.4,0.181,171.8,178.0,0.779,83.8,0.02,Run
5,5,Lap 5,2025-10-23T19:54:13Z,0.081,30.0,30.0,9.72,0.0,0.081,171.2,178.0,0.775,83.5,0.02,Run
6,6,Lap 6,2025-10-23T19:54:43Z,0.144,30.0,30.0,17.24,2.8,0.172,173.7,179.0,0.791,84.7,0.02,Run
7,7,Lap 7,2025-10-23T19:55:13Z,0.085,30.0,30.0,10.22,0.2,0.087,175.6,180.0,0.804,85.7,0.02,Run
8,8,Lap 8,2025-10-23T19:55:43Z,0.152,30.0,30.0,18.22,0.0,0.152,176.8,182.0,0.812,86.2,0.02,Run
9,9,Lap 9,2025-10-23T19:56:13Z,0.078,30.0,30.0,9.4,0.0,0.078,176.7,183.0,0.811,86.2,0.02,Run
10,10,Lap 10,2025-10-23T19:56:43Z,0.147,30.0,30.0,17.68,0.0,0.147,176.1,183.0,0.807,85.9,0.02,Run
11,11,Lap 11,2025-10-23T19:57:13Z,0.077,30.0,30.0,9.25,0.0,0.077,177.6,183.0,0.817,86.6,0.02,Run
12,12,Lap 12,2025-10-23T19:57:43Z,0.15,30.0,30.0,18.07,0.0,0.15,177.0,184.0,0.813,86.3,0.02,Run
13,13,Lap 13,2025-10-23T19:58:13Z,0.076,30.0,30.0,9.11,0.0,0.076,179.2,185.0,0.828,87.4,0.02,Run
14,14,Lap 14,2025-10-23T19:58:43Z,0.145,30.0,30.0,17.35,2.0,0.165,178.7,186.0,0.825,87.2,0.02,Run
15,15,Lap 15,2025-10-23T19:59:13Z,0.08,30.0,30.0,9.61,0.0,0.08,183.4,188.0,0.856,89.5,0.02,Run
16,16,Lap 16,2025-10-23T19:59:43Z,0.149,30.0,30.0,17.93,2.4,0.173,180.8,184.0,0.839,88.2,0.02,Run
17,17,Lap 17,2025-10-23T20:00:13Z,0.076,30.0,30.0,9.07,0.0,0.076,180.3,185.0,0.835,88.0,0.02,Run
18,18,Lap 18,2025-10-23T20:00:43Z,0.153,30.0,30.0,18.32,0.0,0.153,181.4,187.0,0.843,88.5,0.02,Run
19,19,Lap 19,2025-10-23T20:01:13Z,0.074,30.0,30.0,8.93,0.0,0.074,183.8,188.0,0.859,89.7,0.02,Run
20,20,Lap 20,2025-10-23T20:01:43Z,0.149,30.0,30.0,17.93,0.0,0.149,181.4,187.0,0.843,88.5,0.02,Run
21,21,Lap 21,2025-10-23T20:02:13Z,0.059,30.0,30.0,7.06,0.0,0.059,183.1,188.0,0.854,89.3,0.02,Run
22,22,Lap 22,2025-10-23T20:02:43Z,0.307,185.0,185.0,5.98,0.0,0.307,136.0,174.0,0.54,66.3,0.05,Run
23,23,Lap 23,2025-10-23T20:05:48Z,0.103,20.0,20.0,18.5,0.0,0.103,156.6,171.0,0.677,76.4,0.01,Run
24,24,Lap 24,2025-10-23T20:06:08Z,0.055,20.0,20.0,9.97,0.0,0.055,171.7,174.0,0.778,83.8,0.01,Run
25,25,Lap 25,2025-10-23T20:06:28Z,0.099,20.0,20.0,17.86,0.0,0.099,171.1,174.0,0.774,83.5,0.01,Run
26,26,Lap 26,2025-10-23T20:06:48Z,0.047,20.0,20.0,8.53,0.0,0.047,173.5,177.0,0.79,84.6,0.01,Run
27,27,Lap 27,2025-10-23T20:07:08Z,0.098,20.0,20.0,17.6,2.0,0.118,172.4,177.0,0.783,84.1,0.01,Run
28,28,Lap 28,2025-10-23T20:07:28Z,0.053,20.0,20.0,9.54,0.2,0.055,175.5,180.0,0.803,85.6,0.01,Run
29,29,Lap 29,2025-10-23T20:07:48Z,0.102,20.0,20.0,18.43,0.2,0.104,174.8,180.0,0.799,85.3,0.01,Run
30,30,Lap 30,2025-10-23T20:08:08Z,0.051,20.0,20.0,9.11,0.0,0.051,179.5,184.0,0.83,87.6,0.01,Run
31,31,Lap 31,2025-10-23T20:08:28Z,0.101,20.0,20.0,18.11,0.2,0.103,179.4,184.0,0.829,87.5,0.01,Run
32,32,Lap 32,2025-10-23T20:08:48Z,0.052,20.0,20.0,9.36,0.4,0.056,181.8,185.0,0.845,88.7,0.02,Run
33,33,Lap 33,2025-10-23T20:09:08Z,0.098,20.0,20.0,17.6,0.8,0.106,181.3,184.0,0.842,88.4,0.02,Run
34,34,Lap 34,2025-10-23T20:09:28Z,0.045,20.0,20.0,8.03,0.0,0.045,180.8,184.0,0.839,88.2,0.01,Run
35,35,Lap 35,2025-10-23T20:09:48Z,0.099,20.0,20.0,17.78,0.0,0.099,182.2,186.0,0.848,88.9,0.02,Run
36,36,Lap 36,2025-10-23T20:10:08Z,0.049,20.0,20.0,8.78,0.2,0.051,185.2,187.0,0.868,90.3,0.02,Run
37,37,Lap 37,2025-10-23T20:10:28Z,0.093,20.0,20.0,16.81,0.0,0.093,183.2,185.0,0.855,89.4,0.02,Run
38,38,Lap 38,2025-10-23T20:10:48Z,0.055,20.0,20.0,9.94,0.6,0.061,182.8,186.0,0.852,89.2,0.02,Run
39,39,Lap 39,2025-10-23T20:11:08Z,0.1,20.0,20.0,17.96,0.2,0.102,180.7,184.0,0.838,88.1,0.01,Run
40,40,Lap 40,2025-10-23T20:11:28Z,0.047,20.0,20.0,8.53,0.6,0.053,182.7,186.0,0.851,89.1,0.02,Run
41,41,Lap 41,2025-10-23T20:11:48Z,0.108,20.0,20.0,19.51,0.4,0.112,181.3,185.0,0.842,88.4,0.02,Run
42,42,Lap 42,2025-10-23T20:12:08Z,0.033,20.0,20.0,6.01,0.6,0.039,184.9,187.0,0.866,90.2,0.02,Run
43,43,Lap 43,2025-10-23T20:12:28Z,0.296,202.0,202.0,5.29,2.8,0.324,139.4,182.0,0.563,68.0,0.06,Run
44,44,Lap 44,2025-10-23T20:15:50Z,0.153,30.0,30.0,18.4,0.6,0.159,163.4,178.0,0.723,79.7,0.02,Run
45,45,Lap 45,2025-10-23T20:16:20Z,0.081,30.0,30.0,9.68,0.4,0.085,175.0,180.0,0.8,85.4,0.02,Run
46,46,Lap 46,2025-10-23T20:16:50Z,0.15,30.0,30.0,18.04,0.4,0.154,177.2,183.0,0.815,86.4,0.02,Run
47,47,Lap 47,2025-10-23T20:17:20Z,0.072,30.0,30.0,8.6,0.8,0.08,177.5,184.0,0.817,86.6,0.02,Run
48,48,Lap 48,2025-10-23T20:17:50Z,0.149,30.0,30.0,17.89,0.8,0.157,178.2,184.0,0.821,86.9,0.02,Run
49,49,Lap 49,2025-10-23T20:18:20Z,0.068,30.0,30.0,8.17,0.4,0.072,180.4,185.0,0.836,88.0,0.02,Run
50,50,Lap 50,2025-10-23T20:18:50Z,0.147,30.0,30.0,17.68,0.0,0.147,180.5,185.0,0.837,88.0,0.02,Run
51,51,Lap 51,2025-10-23T20:19:20Z,0.069,30.0,30.0,8.32,1.0,0.079,181.5,186.0,0.843,88.5,0.02,Run
52,52,Lap 52,2025-10-23T20:19:50Z,0.147,30.0,30.0,17.6,0.0,0.147,181.1,186.0,0.841,88.3,0.02,Run
53,53,Lap 53,2025-10-23T20:20:20Z,0.063,30.0,30.0,7.6,0.4,0.067,181.4,186.0,0.843,88.5,0.02,Run
54,54,Lap 54,2025-10-23T20:20:50Z,0.14,30.0,30.0,16.81,0.2,0.142,178.9,183.0,0.826,87.3,0.02,Run
55,55,Lap 55,2025-10-23T20:21:20Z,0.075,30.0,30.0,8.96,0.8,0.083,180.3,185.0,0.835,88.0,0.02,Run
56,56,Lap 56,2025-10-23T20:21:50Z,0.151,30.0,30.0,18.07,0.2,0.153,182.6,189.0,0.851,89.1,0.02,Run
57,57,Lap 57,2025-10-23T20:22:20Z,0.062,30.0,30.0,7.42,0.0,0.062,183.3,189.0,0.855,89.4,0.02,Run
58,58,Lap 58,2025-10-23T20:22:50Z,0.147,30.0,30.0,17.68,0.0,0.147,183.4,189.0,0.856,89.5,0.02,Run
59,59,Lap 59,2025-10-23T20:23:20Z,0.067,30.0,30.0,8.06,0.2,0.069,183.4,190.0,0.856,89.5,0.02,Run
60,60,Lap 60,2025-10-23T20:23:50Z,0.142,30.0,30.0,17.06,0.6,0.148,180.6,186.0,0.837,88.1,0.02,Run
61,61,Lap 61,2025-10-23T20:24:20Z,0.074,30.0,30.0,8.86,0.0,0.074,184.0,187.0,0.86,89.8,0.02,Run
62,62,Lap 62,2025-10-23T20:24:50Z,0.162,30.0,30.0,19.44,0.2,0.164,186.2,192.0,0.875,90.8,0.03,Run
63,63,Lap 63,2025-10-23T20:25:20Z,0.293,237.0,237.0,4.46,3.2,0.325,139.9,192.0,0.566,68.2,0.07,Run
64,64,Lap 64,2025-10-23T20:29:18Z,2.295,907.0,907.0,9.11,12.8,2.423,144.8,158.0,0.599,70.6,0.3,Run
