lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-05-03T11:13:12Z,0.0,2.0,2.0,0.0,0.0,0.0,134.0,134.0,0.527,65.4,0.0,Run
2,2,Lap 2,2024-05-03T11:13:14Z,0.0,35.0,35.0,0.0,0.0,0.0,121.2,133.0,0.441,59.1,0.01,Recovery
3,3,Lap 3,2024-05-03T11:13:49Z,0.1,137.0,137.0,2.63,0.0,0.1,129.3,135.0,0.495,63.1,0.03,Recovery
4,4,Lap 4,2024-05-03T11:16:07Z,0.0,109.0,109.0,0.0,0.0,0.0,113.9,134.0,0.393,55.6,0.02,Recovery
5,5,Lap 5,2024-05-03T11:17:56Z,0.1,148.0,148.0,2.45,0.0,0.1,126.4,141.0,0.476,61.7,0.03,Recovery
6,6,Lap 6,2024-05-03T11:20:25Z,0.0,161.0,161.0,0.0,0.0,0.0,108.6,139.0,0.357,53.0,0.02,Recovery
7,7,Lap 7,2024-05-03T11:23:06Z,0.2,316.0,316.0,2.27,0.0,0.2,144.1,162.0,0.594,70.3,0.1,Run
8,8,Lap 8,2024-05-03T11:28:23Z,0.0,118.0,118.0,0.0,0.0,0.0,112.9,137.0,0.386,55.1,0.02,Recovery
9,9,Lap 9,2024-05-03T11:30:21Z,0.025,15.0,15.0,6.01,0.0,0.025,109.8,113.0,0.365,53.6,0.0,Recovery
10,10,Lap 10,2024-05-03T11:30:37Z,0.0,144.0,144.0,0.0,0.0,0.0,104.1,119.0,0.327,50.8,0.02,Recovery
11,11,Lap 11,2024-05-03T11:33:02Z,0.025,81.0,81.0,1.12,0.0,0.025,128.5,146.0,0.49,62.7,0.02,Recovery
