lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-09-09T16:36:28Z,2.208,743.0,1885.0,10.69,17.4,2.382,143.9,172.0,0.593,70.2,0.24,Run
2,2,Lap 2,2025-09-09T17:07:55Z,2.991,1437.0,1552.0,7.49,187.0,4.861,146.5,172.0,0.61,71.5,0.5,Run
3,3,Lap 3,2025-09-09T17:33:47Z,0.011,80.0,80.0,0.47,0.2,0.013,138.0,161.0,0.553,67.3,0.02,Run
4,4,Lap 4,2025-09-09T17:35:08Z,7.166,3844.0,4101.0,6.7,459.2,11.758,145.3,191.0,0.602,70.9,1.31,Run
5,5,Lap 5,2025-09-09T18:43:29Z,4.794,2094.0,2378.0,8.24,24.0,5.034,152.5,191.0,0.65,74.4,0.84,Run
