lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-05-19T19:13:35Z,1.0,344.0,344.0,10.48,0.0,1.0,132.4,138.0,0.516,64.6,0.08,Run
2,2,Lap 2,2024-05-19T19:19:21Z,1.0,336.0,336.0,10.73,0.0,1.0,142.7,151.0,0.585,69.6,0.11,Run
3,3,Lap 3,2024-05-19T19:24:58Z,1.0,330.0,330.0,10.91,0.0,1.0,151.7,155.0,0.645,74.0,0.13,Run
4,4,Lap 4,2024-05-19T19:30:29Z,1.0,338.0,338.0,10.66,0.0,1.0,153.9,157.0,0.659,75.1,0.14,Run
5,5,Lap 5,2024-05-19T19:36:07Z,1.0,360.0,360.0,10.01,4.6,1.046,151.6,157.0,0.644,74.0,0.14,Run
6,6,Lap 6,2024-05-19T19:42:08Z,1.0,347.0,347.0,10.37,0.0,1.0,150.6,153.0,0.637,73.5,0.13,Run
7,7,Lap 7,2024-05-19T19:47:56Z,1.0,418.0,418.0,8.6,49.2,1.492,157.1,169.0,0.681,76.6,0.19,Run
8,8,Lap 8,2024-05-19T19:54:54Z,1.0,357.0,357.0,10.08,7.6,1.076,153.2,157.0,0.655,74.7,0.15,Run
9,9,Lap 9,2024-05-19T20:00:51Z,1.0,326.0,326.0,11.05,0.0,1.0,154.9,158.0,0.666,75.6,0.14,Run
10,10,Lap 10,2024-05-19T20:06:18Z,0.818,302.0,302.0,9.76,9.0,0.908,152.4,161.0,0.649,74.3,0.12,Run
