lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-07-11T17:43:43Z,5.0,802.0,802.0,22.43,71.4,5.714,125.6,154.0,0.471,61.3,0.17,Recovery
2,2,Lap 2,2025-07-11T17:57:11Z,5.0,696.0,696.0,25.85,41.8,5.418,129.8,150.0,0.499,63.3,0.16,Recovery
3,3,Lap 3,2025-07-11T18:08:48Z,5.0,706.0,706.0,25.49,46.8,5.468,132.4,157.0,0.516,64.6,0.17,Run
4,4,Lap 4,2025-07-11T18:20:30Z,5.0,571.0,571.0,31.54,26.0,5.26,144.0,166.0,0.593,70.2,0.19,Run
5,5,Lap 5,2025-07-11T18:30:03Z,5.0,687.0,687.0,26.21,46.4,5.464,134.0,151.0,0.527,65.4,0.18,Run
6,6,Lap 6,2025-07-11T18:41:35Z,3.613,545.0,545.0,23.87,26.0,3.873,131.1,149.0,0.507,64.0,0.13,Run
