lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-05-21T10:30:44Z,1.0,319.0,339.0,11.27,2.4,1.024,131.1,142.0,0.507,64.0,0.08,Run
2,2,Lap 2,2024-05-21T10:36:25Z,1.0,310.0,310.0,11.63,0.0,1.0,151.2,158.0,0.641,73.8,0.12,Run
3,3,Lap 3,2024-05-21T10:41:36Z,1.0,304.0,304.0,11.84,2.6,1.026,161.8,173.0,0.712,78.9,0.15,Run
4,4,Lap 4,2024-05-21T10:46:40Z,1.0,302.0,314.0,11.92,0.0,1.0,165.6,171.0,0.737,80.8,0.16,Run
5,5,Lap 5,2024-05-21T10:51:55Z,1.0,305.0,305.0,11.81,3.4,1.034,167.6,172.0,0.751,81.8,0.17,Run
6,6,Lap 6,2024-05-21T10:57:00Z,1.0,311.0,311.0,11.59,7.0,1.07,166.8,173.0,0.745,81.4,0.17,Run
7,7,Lap 7,2024-05-21T11:02:12Z,1.0,317.0,317.0,11.34,7.4,1.074,167.9,174.0,0.753,81.9,0.18,Run
8,8,Lap 8,2024-05-21T11:07:29Z,1.0,320.0,320.0,11.27,5.8,1.058,168.5,174.0,0.757,82.2,0.18,Run
9,9,Lap 9,2024-05-21T11:12:50Z,1.0,312.0,312.0,11.56,0.0,1.0,162.5,168.0,0.717,79.3,0.16,Run
10,10,Lap 10,2024-05-21T11:18:03Z,1.0,324.0,324.0,11.12,0.0,1.0,164.6,169.0,0.731,80.3,0.17,Run
11,11,Lap 11,2024-05-21T11:23:28Z,0.133,44.0,58.0,10.84,0.0,0.133,158.5,164.0,0.69,77.3,0.02,Run
