lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-07-19T07:05:04Z,1.0,363.0,363.0,9.9,41.8,1.418,143.1,156.0,0.587,69.8,0.12,Run
2,2,Lap 2,2024-07-19T07:11:09Z,1.0,382.0,382.0,9.43,26.4,1.264,157.7,166.0,0.685,76.9,0.17,Run
3,3,Lap 3,2024-07-19T07:17:32Z,1.0,619.0,619.0,5.83,115.6,2.156,164.7,180.0,0.731,80.3,0.33,Run
4,4,Lap 4,2024-07-19T07:27:51Z,1.0,842.0,842.0,4.28,102.8,2.028,157.6,173.0,0.684,76.9,0.38,Run
5,5,Lap 5,2024-07-19T07:41:53Z,0.363,483.0,483.0,2.7,91.0,1.273,162.5,172.0,0.717,79.3,0.24,Run
6,6,Lap 6,2024-07-19T07:49:56Z,1.0,538.0,538.0,6.7,2.0,1.02,147.9,170.0,0.619,72.1,0.19,Run
7,7,Lap 7,2024-07-19T07:58:55Z,1.0,339.0,339.0,10.62,0.0,1.0,163.8,176.0,0.725,79.9,0.18,Run
8,8,Lap 8,2024-07-19T08:04:35Z,1.0,315.0,315.0,11.41,4.4,1.044,166.8,177.0,0.745,81.4,0.17,Run
9,9,Lap 9,2024-07-19T08:09:50Z,1.0,331.0,331.0,10.87,7.6,1.076,166.8,175.0,0.745,81.4,0.18,Run
10,10,Lap 10,2024-07-19T08:15:21Z,0.278,84.0,84.0,11.92,0.0,0.278,169.5,172.0,0.763,82.7,0.05,Run
