lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-01-01T08:20:25Z,1.0,396.0,468.0,9.11,17.0,1.17,134.6,151.0,0.531,65.7,0.1,Run
2,2,Lap 2,2025-01-01T08:28:15Z,1.0,371.0,371.0,9.72,34.6,1.346,153.4,169.0,0.656,74.8,0.15,Run
3,3,Lap 3,2025-01-01T08:34:26Z,1.0,359.0,396.0,10.04,23.0,1.23,158.9,170.0,0.693,77.5,0.17,Run
4,4,Lap 4,2025-01-01T08:41:02Z,1.0,353.0,353.0,10.19,5.6,1.056,151.0,154.0,0.64,73.7,0.14,Run
5,5,Lap 5,2025-01-01T08:46:55Z,1.0,343.0,343.0,10.51,2.0,1.02,156.2,163.0,0.675,76.2,0.15,Run
6,6,Lap 6,2025-01-01T08:52:39Z,0.345,123.0,123.0,10.08,0.0,0.345,161.2,163.0,0.708,78.6,0.06,Run
