lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-06-08T10:12:52Z,5.0,740.0,740.0,24.34,18.0,5.18,123.3,135.0,0.455,60.1,0.14,Recovery
2,2,Lap 2,2024-06-08T10:25:14Z,1.796,260.0,259.0,24.88,18.2,1.978,130.4,143.0,0.503,63.6,0.06,Run
3,3,Lap 3,2024-06-08T10:29:35Z,5.0,1943.0,1943.0,9.25,455.8,9.558,165.0,176.0,0.733,80.5,1.04,Run
4,4,Lap 4,2024-06-08T11:01:59Z,5.0,1997.0,1997.0,9.0,407.6,9.076,159.8,175.0,0.699,78.0,0.95,Run
5,5,Lap 5,2024-06-08T11:35:17Z,3.807,1268.0,1267.0,10.8,254.4,6.351,160.3,175.0,0.702,78.2,0.61,Run
6,6,Lap 6,2024-06-08T11:56:22Z,0.131,223.0,226.0,2.12,2.2,0.153,133.4,166.0,0.523,65.1,0.06,Run
7,7,Lap 7,2024-06-08T12:32:10Z,5.0,1084.0,1086.0,16.6,48.8,5.488,128.6,159.0,0.491,62.7,0.24,Recovery
8,8,Lap 8,2024-06-08T12:50:18Z,5.0,689.0,689.0,26.14,38.0,5.38,129.2,164.0,0.495,63.0,0.16,Recovery
9,9,Lap 9,2024-06-08T13:01:45Z,5.0,479.0,479.0,37.58,0.0,5.0,115.5,123.0,0.403,56.3,0.07,Recovery
10,10,Lap 10,2024-06-08T13:09:45Z,3.021,495.0,495.0,21.96,5.4,3.075,116.2,135.0,0.408,56.7,0.08,Recovery
11,11,Lap 11,2024-06-08T13:18:01Z,3.219,1076.0,1076.0,10.76,85.2,4.071,136.5,160.0,0.543,66.6,0.29,Run
12,12,Lap 12,2024-06-08T13:36:01Z,2.068,366.0,366.0,20.34,25.8,2.326,136.0,155.0,0.54,66.3,0.1,Run
13,13,Lap 13,2024-06-08T13:42:02Z,5.0,2259.0,2259.0,7.96,399.2,8.992,158.9,173.0,0.693,77.5,1.05,Run
14,14,Lap 14,2024-06-08T14:19:44Z,0.414,256.0,255.0,5.83,12.2,0.536,137.1,144.0,0.547,66.9,0.07,Run
15,15,Lap 15,2024-06-08T14:23:59Z,5.0,533.0,533.0,33.77,0.0,5.0,114.7,130.0,0.398,56.0,0.08,Recovery
16,16,Lap 16,2024-06-08T14:32:53Z,5.0,682.0,682.0,26.39,30.8,5.308,132.5,153.0,0.517,64.6,0.17,Run
17,17,Lap 17,2024-06-08T14:44:15Z,3.421,480.0,480.0,25.67,6.0,3.481,131.3,157.0,0.509,64.0,0.12,Run
