lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-08-11T17:24:48Z,1.0,321.0,321.0,11.23,0.0,1.0,145.0,158.0,0.6,70.7,0.11,Run
2,2,Lap 2,2024-08-11T17:30:11Z,1.0,371.0,371.0,9.72,46.0,1.46,165.3,176.0,0.735,80.6,0.2,Run
3,3,Lap 3,2024-08-11T17:36:23Z,1.0,326.0,326.0,11.05,0.0,1.0,163.3,171.0,0.722,79.7,0.17,Run
4,4,Lap 4,2024-08-11T17:41:50Z,1.0,348.0,348.0,10.33,17.4,1.174,165.9,176.0,0.739,80.9,0.19,Run
5,5,Lap 5,2024-08-11T17:47:38Z,1.0,358.0,358.0,10.04,9.6,1.096,167.2,176.0,0.748,81.6,0.2,Run
6,6,Lap 6,2024-08-11T17:53:37Z,1.0,361.0,361.0,9.97,7.7,1.077,167.6,175.0,0.751,81.8,0.2,Run
7,7,Lap 7,2024-08-11T17:59:38Z,1.0,355.0,355.0,10.15,10.4,1.104,170.5,174.0,0.77,83.2,0.21,Run
8,8,Lap 8,2024-08-11T18:05:34Z,1.0,347.0,347.0,10.37,3.3,1.033,172.0,176.0,0.78,83.9,0.22,Run
9,9,Lap 9,2024-08-11T18:11:21Z,1.0,343.0,343.0,10.51,11.7,1.117,174.6,181.0,0.797,85.2,0.22,Run
10,10,Lap 10,2024-08-11T18:17:04Z,1.0,361.0,361.0,9.97,18.7,1.187,180.7,184.0,0.838,88.1,0.27,Run
11,11,Lap 11,2024-08-11T18:23:06Z,1.0,337.0,337.0,10.69,22.3,1.223,177.4,190.0,0.816,86.5,0.23,Run
12,12,Lap 12,2024-08-11T18:28:43Z,1.0,370.0,390.0,9.72,8.8,1.088,179.0,187.0,0.827,87.3,0.27,Run
13,13,Lap 13,2024-08-11T18:35:14Z,1.0,415.0,1294.0,8.68,11.4,1.114,151.7,174.0,0.645,74.0,0.16,Run
14,14,Lap 14,2024-08-11T18:56:49Z,1.0,463.0,463.0,7.78,34.2,1.342,150.5,173.0,0.637,73.4,0.18,Run
15,15,Lap 15,2024-08-11T19:04:33Z,0.143,67.0,67.0,7.67,2.9,0.172,169.7,171.0,0.765,82.8,0.04,Run
