lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2026-01-28T18:45:25Z,1.0,338.0,338.0,10.66,7.4,1.074,140.0,160.0,0.567,68.3,0.1,Run
2,2,Lap 2,2026-01-28T18:51:05Z,1.0,337.0,337.0,10.69,0.8,1.008,145.5,164.0,0.603,71.0,0.12,Run
3,3,Lap 3,2026-01-28T18:56:42Z,1.0,318.0,318.0,11.3,4.0,1.04,149.0,158.0,0.627,72.7,0.12,Run
4,4,Lap 4,2026-01-28T19:02:01Z,0.604,218.0,217.0,9.97,0.2,0.606,142.9,164.0,0.586,69.7,0.07,Run
5,5,Lap 5,2026-01-28T19:05:38Z,1.0,254.0,254.0,14.18,2.0,1.02,167.2,173.0,0.748,81.6,0.14,Run
6,6,Lap 6,2026-01-28T19:09:53Z,1.0,253.0,253.0,14.22,0.4,1.004,174.5,179.0,0.797,85.1,0.17,Run
7,7,Lap 7,2026-01-28T19:14:08Z,1.0,252.0,252.0,14.29,0.8,1.008,176.2,183.0,0.808,86.0,0.17,Run
8,8,Lap 8,2026-01-28T19:18:20Z,1.0,335.0,335.0,10.76,0.0,1.0,154.9,177.0,0.666,75.6,0.14,Run
9,9,Lap 9,2026-01-28T19:23:55Z,1.0,328.0,328.0,10.98,9.2,1.092,156.8,163.0,0.679,76.5,0.15,Run
10,10,Lap 10,2026-01-28T19:29:23Z,1.0,314.0,314.0,11.45,0.0,1.0,153.8,159.0,0.659,75.0,0.13,Run
11,11,Lap 11,2026-01-28T19:34:37Z,0.118,44.0,50.0,9.68,0.0,0.118,151.1,155.0,0.641,73.7,0.02,Run
