lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-02-14T16:44:08Z,1.0,325.0,325.0,11.09,7.0,1.07,154.4,162.0,0.663,75.3,0.14,Run
2,2,Lap 2,2025-02-14T16:49:35Z,1.0,310.0,310.0,11.63,5.8,1.058,166.4,172.0,0.743,81.2,0.17,Run
3,3,Lap 3,2025-02-14T16:54:46Z,1.0,308.0,308.0,11.7,7.0,1.07,168.1,172.0,0.754,82.0,0.18,Run
4,4,Lap 4,2025-02-14T16:59:54Z,1.0,299.0,299.0,12.02,7.2,1.072,163.2,173.0,0.721,79.6,0.15,Run
5,5,Lap 5,2025-02-14T17:04:53Z,1.0,290.0,290.0,12.42,9.6,1.096,172.6,177.0,0.784,84.2,0.18,Run
6,6,Lap 6,2025-02-14T17:09:43Z,1.0,307.0,307.0,11.74,10.0,1.1,170.3,177.0,0.769,83.1,0.18,Run
7,7,Lap 7,2025-02-14T17:14:51Z,1.0,306.0,306.0,11.77,12.6,1.126,168.9,180.0,0.759,82.4,0.18,Run
8,8,Lap 8,2025-02-14T17:19:57Z,1.0,311.0,311.0,11.59,6.8,1.068,164.4,168.0,0.729,80.2,0.16,Run
9,9,Lap 9,2025-02-14T17:25:08Z,1.0,305.0,305.0,11.81,5.2,1.052,168.0,172.0,0.753,82.0,0.17,Run
10,10,Lap 10,2025-02-14T17:30:14Z,0.158,50.0,50.0,11.38,3.8,0.196,163.7,167.0,0.725,79.9,0.03,Run
