lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2026-01-23T17:21:14Z,1.0,330.0,343.0,10.91,0.0,1.0,139.2,146.0,0.561,67.9,0.1,Run
2,2,Lap 2,2026-01-23T17:26:59Z,0.296,98.0,97.0,10.91,0.0,0.296,149.1,153.0,0.627,72.7,0.04,Run
3,3,Lap 3,2026-01-23T17:28:36Z,1.0,234.0,234.0,15.37,0.0,1.0,171.3,179.0,0.775,83.6,0.14,Run
4,4,Lap 4,2026-01-23T17:32:32Z,0.374,121.0,121.0,11.12,0.0,0.374,160.4,177.0,0.703,78.2,0.06,Run
5,5,Lap 5,2026-01-23T17:34:33Z,1.0,235.0,235.0,15.34,2.4,1.024,174.8,180.0,0.799,85.3,0.15,Run
6,6,Lap 6,2026-01-23T17:38:29Z,0.581,181.0,180.0,11.56,0.0,0.581,160.0,178.0,0.7,78.0,0.09,Run
7,7,Lap 7,2026-01-23T17:41:30Z,0.166,31.0,31.0,19.22,5.4,0.22,170.9,181.0,0.773,83.4,0.02,Run
8,8,Lap 8,2026-01-23T17:42:02Z,0.094,32.0,32.0,10.51,0.2,0.096,176.8,182.0,0.812,86.2,0.02,Run
9,9,Lap 9,2026-01-23T17:42:34Z,0.163,30.0,30.0,19.51,2.0,0.183,177.3,185.0,0.815,86.5,0.02,Run
10,10,Lap 10,2026-01-23T17:43:05Z,0.197,62.0,62.0,11.45,0.0,0.197,175.7,186.0,0.805,85.7,0.04,Run
11,11,Lap 11,2026-01-23T17:44:07Z,0.169,31.0,31.0,19.66,12.0,0.289,176.0,185.0,0.807,85.9,0.02,Run
12,12,Lap 12,2026-01-23T17:44:39Z,0.083,29.0,29.0,10.37,0.0,0.083,182.1,187.0,0.847,88.8,0.02,Run
13,13,Lap 13,2026-01-23T17:45:08Z,0.173,30.0,30.0,20.81,0.0,0.173,183.8,193.0,0.859,89.7,0.02,Run
14,14,Lap 14,2026-01-23T17:45:38Z,0.35,136.0,136.0,9.25,0.0,0.35,166.7,193.0,0.745,81.3,0.08,Run
