lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-05-09T06:57:52Z,5.0,685.0,685.0,26.28,21.4,5.214,80.9,110.0,0.173,39.5,0.03,Recovery
2,2,Lap 2,2024-05-09T07:09:20Z,5.0,757.0,757.0,23.8,64.4,5.644,93.7,127.0,0.258,45.7,0.06,Recovery
3,3,Lap 3,2024-05-09T07:21:59Z,5.0,602.0,602.0,29.92,0.0,5.0,90.6,125.0,0.237,44.2,0.04,Recovery
4,4,Lap 4,2024-05-09T07:32:08Z,4.141,1080.0,1080.0,13.79,73.0,4.871,114.6,146.0,0.397,55.9,0.16,Recovery
5,5,Lap 5,2024-05-09T07:50:00Z,5.0,1949.0,1949.0,9.25,433.2,9.332,157.1,178.0,0.681,76.6,0.87,Run
6,6,Lap 6,2024-05-09T08:22:33Z,5.0,1995.0,1995.0,9.04,413.8,9.138,170.5,178.0,0.77,83.2,1.2,Run
7,7,Lap 7,2024-05-09T08:55:49Z,4.571,1397.0,1397.0,11.77,239.6,6.967,162.1,179.0,0.714,79.1,0.7,Run
8,8,Lap 8,2024-05-09T09:19:06Z,5.0,2428.0,2428.0,7.42,75.4,5.754,125.1,165.0,0.467,61.0,0.49,Recovery
9,9,Lap 9,2024-05-09T09:59:32Z,5.0,580.0,580.0,31.03,0.0,5.0,118.9,130.0,0.426,58.0,0.1,Recovery
10,10,Lap 10,2024-05-09T10:09:11Z,5.0,581.0,581.0,31.0,0.0,5.0,113.7,125.0,0.391,55.5,0.09,Recovery
11,11,Lap 11,2024-05-09T10:18:53Z,3.155,815.0,815.0,13.93,4.0,3.195,114.8,131.0,0.399,56.0,0.12,Recovery
12,12,Lap 12,2024-05-09T10:32:30Z,4.511,623.0,623.0,26.06,26.6,4.777,138.7,159.0,0.558,67.7,0.18,Run
13,13,Lap 13,2024-05-09T10:42:50Z,5.0,1432.0,1432.0,12.56,234.8,7.348,156.2,171.0,0.675,76.2,0.63,Run
14,14,Lap 14,2024-05-09T11:06:45Z,3.579,840.0,839.0,15.34,115.8,4.737,147.6,161.0,0.617,72.0,0.3,Run
15,15,Lap 15,2024-05-09T11:20:47Z,0.085,287.0,287.0,1.04,2.8,0.113,125.1,151.0,0.467,61.0,0.06,Recovery
16,16,Lap 16,2024-05-09T11:25:31Z,4.595,1420.0,1420.0,11.66,253.0,7.125,158.1,173.0,0.687,77.1,0.65,Run
