lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-07-16T14:57:57Z,0.1,139.0,139.0,2.59,0.0,0.1,131.1,140.0,0.507,64.0,0.03,Run
2,2,Lap 2,2025-07-16T15:00:17Z,0.0,65.0,65.0,0.0,0.0,0.0,110.6,138.0,0.371,54.0,0.01,Recovery
3,3,Lap 3,2025-07-16T15:01:22Z,0.15,159.0,159.0,3.38,0.0,0.15,116.8,132.0,0.412,57.0,0.03,Recovery
4,4,Lap 4,2025-07-16T15:04:01Z,0.0,87.0,87.0,0.0,0.0,0.0,104.4,132.0,0.329,50.9,0.01,Recovery
5,5,Lap 5,2025-07-16T15:05:29Z,0.05,64.0,64.0,2.81,0.0,0.05,121.1,140.0,0.441,59.1,0.01,Recovery
6,6,Lap 6,2025-07-16T15:06:33Z,0.0,88.0,88.0,0.0,0.0,0.0,123.6,147.0,0.457,60.3,0.02,Recovery
7,7,Lap 7,2025-07-16T15:08:01Z,0.05,58.0,58.0,3.1,0.0,0.05,121.0,138.0,0.44,59.0,0.01,Recovery
8,8,Lap 8,2025-07-16T15:09:00Z,0.0,102.0,102.0,0.0,0.0,0.0,123.7,150.0,0.458,60.3,0.02,Recovery
9,9,Lap 9,2025-07-16T15:10:42Z,0.05,59.0,59.0,3.06,0.0,0.05,130.8,158.0,0.505,63.8,0.01,Run
10,10,Lap 10,2025-07-16T15:11:41Z,0.0,92.0,92.0,0.0,0.0,0.0,130.1,158.0,0.501,63.5,0.02,Run
11,11,Lap 11,2025-07-16T15:13:13Z,0.05,67.0,67.0,2.7,0.0,0.05,132.2,148.0,0.515,64.5,0.02,Run
12,12,Lap 12,2025-07-16T15:14:21Z,0.0,78.0,78.0,0.0,0.0,0.0,130.1,148.0,0.501,63.5,0.02,Run
13,13,Lap 13,2025-07-16T15:15:40Z,0.05,73.0,73.0,2.45,0.0,0.05,138.6,156.0,0.557,67.6,0.02,Run
14,14,Lap 14,2025-07-16T15:16:53Z,0.0,75.0,75.0,0.0,0.0,0.0,132.7,154.0,0.518,64.7,0.02,Run
15,15,Lap 15,2025-07-16T15:18:09Z,0.05,61.0,61.0,2.95,0.0,0.05,130.5,145.0,0.503,63.7,0.01,Run
16,16,Lap 16,2025-07-16T15:19:10Z,0.0,275.0,275.0,0.0,0.0,0.0,115.9,154.0,0.406,56.5,0.04,Recovery
17,17,Lap 17,2025-07-16T15:23:46Z,0.4,660.0,660.0,2.2,0.0,0.4,134.7,158.0,0.531,65.7,0.17,Run
18,18,Lap 18,2025-07-16T15:34:46Z,0.0,2.0,2.0,0.0,0.0,0.0,157.0,158.0,0.68,76.6,0.0,Run
19,19,Lap 19,2025-07-16T15:34:49Z,0.0,9.0,9.0,0.0,0.0,0.0,155.9,157.0,0.673,76.0,0.0,Run
20,20,Lap 20,2025-07-16T15:34:58Z,0.0,21.0,21.0,0.0,0.0,0.0,157.8,165.0,0.685,77.0,0.01,Run
21,21,Lap 21,2025-07-16T15:35:20Z,0.0,50.0,50.0,0.0,0.0,0.0,126.8,163.0,0.479,61.9,0.01,Recovery
