lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2024-10-06T05:51:51Z,1.0,321.0,2619.0,1.37,4.4,1.044,113.3,122.0,0.389,55.3,0.05,Recovery
2,2,Lap 2,2024-10-06T06:35:32Z,1.0,321.0,321.0,11.23,0.0,1.0,119.4,123.0,0.429,58.2,0.06,Recovery
3,3,Lap 3,2024-10-06T06:40:54Z,1.0,323.0,323.0,11.16,3.8,1.038,118.8,122.0,0.425,58.0,0.06,Recovery
4,4,Lap 4,2024-10-06T06:46:18Z,1.0,317.0,317.0,11.34,0.0,1.0,119.0,123.0,0.427,58.0,0.05,Recovery
5,5,Lap 5,2024-10-06T06:51:35Z,1.0,317.0,317.0,11.34,0.0,1.0,119.8,123.0,0.432,58.4,0.06,Recovery
6,6,Lap 6,2024-10-06T06:56:53Z,1.0,327.0,327.0,11.02,4.6,1.046,144.6,177.0,0.597,70.5,0.11,Run
7,7,Lap 7,2024-10-06T07:02:20Z,1.0,330.0,330.0,10.91,16.4,1.164,173.1,178.0,0.787,84.4,0.21,Run
8,8,Lap 8,2024-10-06T07:07:51Z,1.0,309.0,309.0,11.66,0.0,1.0,172.8,177.0,0.785,84.3,0.19,Run
9,9,Lap 9,2024-10-06T07:13:01Z,1.0,318.0,318.0,11.3,7.8,1.078,174.3,178.0,0.795,85.0,0.21,Run
10,10,Lap 10,2024-10-06T07:18:19Z,1.0,341.0,341.0,10.55,0.0,1.0,168.8,173.0,0.759,82.3,0.2,Run
11,11,Lap 11,2024-10-06T07:24:01Z,1.0,323.0,323.0,11.16,6.2,1.062,173.2,178.0,0.788,84.5,0.21,Run
12,12,Lap 12,2024-10-06T07:29:25Z,1.0,316.0,316.0,11.38,0.0,1.0,174.3,177.0,0.795,85.0,0.21,Run
13,13,Lap 13,2024-10-06T07:34:41Z,1.0,319.0,319.0,11.27,2.8,1.028,175.0,179.0,0.8,85.4,0.21,Run
14,14,Lap 14,2024-10-06T07:40:00Z,1.0,325.0,325.0,11.09,2.0,1.02,171.0,174.0,0.773,83.4,0.2,Run
15,15,Lap 15,2024-10-06T07:45:26Z,1.0,326.0,326.0,11.05,4.0,1.04,172.2,174.0,0.781,84.0,0.2,Run
16,16,Lap 16,2024-10-06T07:50:53Z,1.0,325.0,325.0,11.09,0.0,1.0,172.6,176.0,0.784,84.2,0.2,Run
17,17,Lap 17,2024-10-06T07:56:18Z,1.0,333.0,333.0,10.8,13.6,1.136,173.6,177.0,0.791,84.7,0.21,Run
18,18,Lap 18,2024-10-06T08:01:51Z,1.0,331.0,331.0,10.87,4.4,1.044,171.2,175.0,0.775,83.5,0.2,Run
19,19,Lap 19,2024-10-06T08:07:23Z,1.0,341.0,341.0,10.55,6.4,1.064,169.1,173.0,0.761,82.5,0.2,Run
20,20,Lap 20,2024-10-06T08:13:05Z,1.0,351.0,351.0,10.26,0.0,1.0,168.0,172.0,0.753,82.0,0.2,Run
