lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-11-08T16:00:57Z,2.042,302.0,303.0,24.34,11.0,2.152,118.2,127.0,0.421,57.7,0.05,Recovery
2,2,Lap 2,2025-11-08T16:06:01Z,0.454,60.0,59.0,27.25,0.0,0.454,125.9,129.0,0.473,61.4,0.01,Recovery
3,3,Lap 3,2025-11-08T16:07:01Z,0.51,60.0,59.0,30.64,0.0,0.51,130.2,135.0,0.501,63.5,0.01,Run
4,4,Lap 4,2025-11-08T16:08:01Z,0.544,60.0,59.0,32.65,0.0,0.544,135.5,142.0,0.537,66.1,0.02,Run
5,5,Lap 5,2025-11-08T16:09:01Z,0.547,60.0,59.0,32.8,0.0,0.547,141.7,146.0,0.578,69.1,0.02,Run
6,6,Lap 6,2025-11-08T16:10:01Z,0.579,60.0,59.0,34.74,0.0,0.579,146.6,150.0,0.611,71.5,0.02,Run
7,7,Lap 7,2025-11-08T16:11:01Z,0.592,60.0,59.0,35.53,0.0,0.592,153.9,157.0,0.659,75.1,0.02,Run
8,8,Lap 8,2025-11-08T16:12:01Z,0.602,60.0,59.0,36.11,4.6,0.648,158.1,162.0,0.687,77.1,0.03,Run
9,9,Lap 9,2025-11-08T16:13:01Z,0.691,60.0,59.0,41.44,0.0,0.691,162.5,164.0,0.717,79.3,0.03,Run
10,10,Lap 10,2025-11-08T16:14:01Z,0.679,60.0,59.0,40.75,0.0,0.679,168.0,171.0,0.753,82.0,0.03,Run
11,11,Lap 11,2025-11-08T16:15:01Z,0.732,60.0,59.0,43.92,0.0,0.732,172.7,175.0,0.785,84.2,0.04,Run
12,12,Lap 12,2025-11-08T16:16:01Z,0.733,60.0,59.0,43.96,0.0,0.733,177.8,180.0,0.819,86.7,0.04,Run
13,13,Lap 13,2025-11-08T16:17:01Z,0.702,60.0,59.0,42.12,2.2,0.724,181.5,184.0,0.843,88.5,0.05,Run
14,14,Lap 14,2025-11-08T16:18:01Z,0.151,13.0,12.0,41.87,0.0,0.151,182.5,184.0,0.85,89.0,0.01,Run
15,15,Lap 15,2025-11-08T16:18:14Z,2.584,600.0,599.0,15.52,39.8,2.982,128.7,179.0,0.491,62.8,0.13,Recovery
16,16,Lap 16,2025-11-08T16:28:14Z,0.047,14.0,13.0,12.06,0.0,0.047,114.8,117.0,0.399,56.0,0.0,Recovery
