lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2026-01-31T09:13:13Z,6.518,1386.0,1386.0,16.92,10.4,6.622,100.5,144.0,0.303,49.0,0.13,Recovery
2,2,Lap 2,2026-01-31T09:48:25Z,4.667,1741.0,1741.0,9.65,10.2,4.769,105.1,146.0,0.334,51.3,0.2,Recovery
3,3,Lap 3,2026-01-31T10:11:56Z,0.338,560.0,560.0,2.16,11.0,0.448,112.9,128.0,0.386,55.1,0.08,Recovery
4,4,Lap 4,2026-01-31T10:21:03Z,5.162,1499.0,1499.0,12.38,10.2,5.264,107.9,186.0,0.353,52.6,0.18,Recovery
5,5,Lap 5,2026-01-31T10:46:05Z,3.296,1274.0,1274.0,9.32,11.4,3.409,127.8,161.0,0.485,62.3,0.28,Recovery
6,6,Lap 6,2026-01-31T11:07:52Z,2.642,1953.0,1953.0,4.86,0.0,2.642,106.6,131.0,0.344,52.0,0.23,Recovery
