lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-11-15T13:06:12Z,1.0,365.0,365.0,9.86,14.4,1.144,131.3,145.0,0.509,64.0,0.09,Run
2,2,Lap 2,2025-11-15T13:12:19Z,1.0,360.0,360.0,10.01,18.8,1.188,145.7,154.0,0.605,71.1,0.12,Run
3,3,Lap 3,2025-11-15T13:18:19Z,1.0,313.0,313.0,11.48,18.2,1.182,157.6,170.0,0.684,76.9,0.14,Run
4,4,Lap 4,2025-11-15T13:23:33Z,1.0,298.0,298.0,12.1,8.4,1.084,165.0,176.0,0.733,80.5,0.16,Run
5,5,Lap 5,2025-11-15T13:28:31Z,0.225,174.0,174.0,4.64,0.0,0.225,144.6,158.0,0.597,70.5,0.06,Run
6,6,Lap 6,2025-11-15T13:31:25Z,1.0,261.0,261.0,13.79,26.6,1.266,174.3,189.0,0.795,85.0,0.17,Run
7,7,Lap 7,2025-11-15T13:35:47Z,1.0,252.0,252.0,14.29,13.0,1.13,181.4,188.0,0.843,88.5,0.19,Run
8,8,Lap 8,2025-11-15T13:40:00Z,1.0,257.0,257.0,14.0,0.0,1.0,174.9,181.0,0.799,85.3,0.17,Run
9,9,Lap 9,2025-11-15T13:44:17Z,1.0,285.0,285.0,12.64,6.6,1.066,171.1,177.0,0.774,83.5,0.17,Run
10,10,Lap 10,2025-11-15T13:49:02Z,1.0,303.0,303.0,11.88,2.6,1.026,163.0,174.0,0.72,79.5,0.15,Run
11,11,Lap 11,2025-11-15T13:54:05Z,0.192,55.0,55.0,12.56,0.0,0.192,168.5,172.0,0.757,82.2,0.03,Run
12,12,Lap 12,2025-11-15T13:55:00Z,0.589,781.0,781.0,2.7,9.2,0.681,118.3,168.0,0.422,57.7,0.13,Recovery
13,13,Lap 13,2025-11-15T14:08:01Z,1.0,354.0,354.0,10.15,23.2,1.232,150.9,164.0,0.639,73.6,0.14,Run
14,14,Lap 14,2025-11-15T14:13:56Z,1.0,381.0,381.0,9.43,40.4,1.404,158.2,167.0,0.688,77.2,0.17,Run
15,15,Lap 15,2025-11-15T14:20:18Z,1.0,361.0,361.0,9.97,6.6,1.066,147.7,157.0,0.618,72.0,0.13,Run
16,16,Lap 16,2025-11-15T14:26:20Z,1.0,451.0,451.0,7.99,26.4,1.264,137.6,155.0,0.551,67.1,0.13,Run
17,17,Lap 17,2025-11-15T14:33:51Z,1.0,296.0,296.0,12.17,1.8,1.018,155.0,166.0,0.667,75.6,0.13,Run
18,18,Lap 18,2025-11-15T14:38:47Z,0.398,140.0,140.0,10.22,9.2,0.49,159.9,166.0,0.699,78.0,0.07,Run
19,19,Lap 19,2025-11-15T14:41:07Z,0.09,198.0,198.0,1.62,2.6,0.116,139.8,160.0,0.565,68.2,0.06,Run
20,20,Lap 20,2025-11-15T14:44:26Z,0.373,271.0,271.0,4.97,20.0,0.573,126.1,134.0,0.474,61.5,0.06,Recovery
21,21,Lap 21,2025-11-15T14:48:58Z,1.0,421.0,421.0,8.57,38.2,1.382,148.3,159.0,0.622,72.3,0.15,Run
22,22,Lap 22,2025-11-15T14:56:00Z,1.0,289.0,289.0,12.46,0.0,1.0,155.1,164.0,0.667,75.7,0.12,Run
23,23,Lap 23,2025-11-15T15:00:50Z,1.0,387.0,387.0,9.29,2.8,1.028,147.4,159.0,0.616,71.9,0.14,Run
24,24,Lap 24,2025-11-15T15:07:17Z,1.0,372.0,372.0,9.68,5.4,1.054,158.2,163.0,0.688,77.2,0.17,Run
25,25,Lap 25,2025-11-15T15:13:30Z,1.0,364.0,364.0,9.9,4.2,1.042,160.3,165.0,0.702,78.2,0.17,Run
26,26,Lap 26,2025-11-15T15:19:34Z,0.421,154.0,154.0,9.83,3.6,0.457,166.2,172.0,0.741,81.1,0.08,Run
