lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2026-01-18T09:59:27Z,1.908,1169.0,1169.0,5.87,10.0,2.008,105.2,126.0,0.335,51.3,0.13,Recovery
2,2,Lap 2,2026-01-18T10:17:20Z,2.128,1314.0,1314.0,5.83,19.2,2.32,103.9,131.0,0.326,50.7,0.14,Recovery
3,3,Lap 3,2026-01-18T10:38:10Z,1.919,1263.0,1263.0,5.47,11.0,2.029,91.9,124.0,0.246,44.8,0.09,Recovery
4,4,Lap 4,2026-01-18T11:00:14Z,2.343,2144.0,2144.0,3.92,16.8,2.511,118.8,150.0,0.425,58.0,0.37,Recovery
5,5,Lap 5,2026-01-18T11:36:48Z,3.139,1630.0,1630.0,6.95,12.0,3.259,106.6,139.0,0.344,52.0,0.19,Recovery
6,6,Lap 6,2026-01-18T12:04:46Z,2.32,1433.0,1433.0,5.83,8.4,2.404,99.4,121.0,0.296,48.5,0.13,Recovery
7,7,Lap 7,2026-01-18T12:27:16Z,2.062,2814.0,2814.0,2.63,9.6,2.158,110.5,141.0,0.37,53.9,0.38,Recovery
8,8,Lap 8,2026-01-18T13:15:19Z,0.346,1382.0,1382.0,0.9,0.0,0.346,90.3,114.0,0.235,44.0,0.09,Recovery
9,9,Lap 9,2026-01-18T13:29:54Z,2.908,4429.0,4429.0,2.38,10.4,3.012,105.5,137.0,0.337,51.5,0.51,Recovery
10,10,Lap 10,2026-01-18T14:50:54Z,5.584,1729.0,1729.0,11.63,0.0,5.584,108.7,142.0,0.358,53.0,0.22,Recovery
